gold_label	sentence1	sentence2
Support	A boy with a red USA shirt is playing with a toy set.	His toy set is brand new
Neutral	A boy with a red USA shirt is playing with a toy set.	The boy has been playing for 30 minutes
Invalidate	A dog jumps to catch a ball in a grassy field.	A dog running away from the grass
Support	A dog jumps to catch a ball in a grassy field.	Dog jumping in grassy field for ball.
Neutral	A dog jumps to catch a ball in a grassy field.	Grassy field is more natural in beauty.
Invalidate	A man in a rumpled white dress shirt, tie and vest, wearing a hat, is surrounded by onlookers in a urban setting.	He is going to have lunch
Support	A man in a rumpled white dress shirt, tie and vest, wearing a hat, is surrounded by onlookers in a urban setting.	The Umpire observes the play in a match.
Neutral	A man in a rumpled white dress shirt, tie and vest, wearing a hat, is surrounded by onlookers in a urban setting.	Working as an Umpire in a match will help to settle a dispute that mediators have been unable to resolve.
Invalidate	Four men climbing a tree while passersby watch.	The men come down the tree to help an injured lady
Support	Four men climbing a tree while passersby watch.	The men are betting who can get to the top first
Neutral	Four men climbing a tree while passersby watch.	Some people stopped to film the men on the tallest tree in the park
Invalidate	Many kids are jumping in bags.	Many kids are walking to the road
Support	Many kids are jumping in bags.	They are enjoying the playing.
Neutral	Many kids are jumping in bags.	They are going to school.
Invalidate	A game of soccer where the opposing team in trying to gain the ball back.	The player goes to stay in fivestar hotel at night
Support	A game of soccer where the opposing team in trying to gain the ball back.	The opposite team is given  their maximum tough to the other team
Neutral	A game of soccer where the opposing team in trying to gain the ball back.	These days soccer is becoming like cricket  which was liked by all
Invalidate	A man in shorts with two black dogs holds a ball throwing toy at the beach.	People feel scared of the dogs as it starts barking vigorously on seeing them.
Support	A man in shorts with two black dogs holds a ball throwing toy at the beach.	Dogs which looks so adorable are playing with a man happily.
Neutral	A man in shorts with two black dogs holds a ball throwing toy at the beach.	Dogs are so grateful to their owners.
Invalidate	A male child jumping off of a diving board at a public swimming pool on a sunny day.	he splashes at the water
Support	A male child jumping off of a diving board at a public swimming pool on a sunny day.	his smile is bright as he falls
Neutral	A male child jumping off of a diving board at a public swimming pool on a sunny day.	the family reunion is always a good time
Invalidate	A baby is playing with a string of beads.	She is showing completed string to mother proudly
Support	A baby is playing with a string of beads.	She is completely immersed into choosing beads
Neutral	A baby is playing with a string of beads.	Children love playing with colourful beads
Invalidate	A daughter helps her mother in the kitchen in this family photo-op.	The daughter is going back to her bedroom
Support	A daughter helps her mother in the kitchen in this family photo-op.	The light is perfect for this photo-op
Neutral	A daughter helps her mother in the kitchen in this family photo-op.	The mother is teaching the daughter a cooking lesson
Invalidate	A woman and a girl are sitting under a tree.	Two people walk down the street towards their home.
Support	A woman and a girl are sitting under a tree.	The two people enjoy the shade of the tree.
Neutral	A woman and a girl are sitting under a tree.	People love to relax under trees.
Invalidate	A group of soldiers standing beside a tank.	A group of soldiers won the battle.
Support	A group of soldiers standing beside a tank.	soldiers at war beside a tank
Neutral	A group of soldiers standing beside a tank.	in a war soldiers fight alongside a tank
Invalidate	A group of people waiting in line for a game.	The people all eat at a restaurant.
Support	A group of people waiting in line for a game.	The people want the gates to open so they can go in.
Neutral	A group of people waiting in line for a game.	Most people hate waiting in line.
Invalidate	The racer zooms past the wooded area leaving a cloud of dust.	The racer stretching his legs and relaxed on the couch.
Support	The racer zooms past the wooded area leaving a cloud of dust.	The racer rushing to the finish line in record time.
Neutral	The racer zooms past the wooded area leaving a cloud of dust.	Racing is considered a very dangerous activity.
Invalidate	A group of people of various ages at a conference talking.	an age group find themselves together talking
Support	A group of people of various ages at a conference talking.	they are collected in conference hall
Neutral	A group of people of various ages at a conference talking.	cofference room is where workers gather to talk
Invalidate	Young female meditating in the woods, wearing work clothing and a bicycle helmet.	The female is walking towards the entrance of a restaurant.
Support	Young female meditating in the woods, wearing work clothing and a bicycle helmet.	The female is sitting on a blanket while taking a break from bike riding.
Neutral	Young female meditating in the woods, wearing work clothing and a bicycle helmet.	Many outdoor enthusiasts enjoy meditating in parks.
Invalidate	Tourist are taking photos at the beautiful place.	the clouds stood in front of the sunset
Support	Tourist are taking photos at the beautiful place.	it is a perfect spot for a photo with friends
Neutral	Tourist are taking photos at the beautiful place.	many people in line wanted a photo of that horizon
Invalidate	A musician sitting at his piano.	Doctors cheer up the musician
Support	A musician sitting at his piano.	this piano is great
Neutral	A musician sitting at his piano.	Muita gente gosta de pianistas
Invalidate	The women is holding the boy while looking across the street.	The child has been at school for an hour.
Support	The women is holding the boy while looking across the street.	They look both ways before continuing.
Neutral	The women is holding the boy while looking across the street.	It is a hot day today.
Invalidate	Three men in white wait to swing at a ball.	No one is practicing for the game at this time.
Support	Three men in white wait to swing at a ball.	The people in the stadium cheer for the players.
Neutral	Three men in white wait to swing at a ball.	Baseball was once called America's passtime.
Invalidate	A man training a dog to attack his padded arm.	The dog is asleep on his bed.
Support	A man training a dog to attack his padded arm.	This person's dog bites the pad.
Neutral	A man training a dog to attack his padded arm.	The dog sits by his trainers side.
Invalidate	A woman is playing on the floor with a large dog.	The woman is eating dinner.
Support	A woman is playing on the floor with a large dog.	She seems to love her pet very much.
Neutral	A woman is playing on the floor with a large dog.	Dogs can be excellent pets.
Invalidate	A man is cutting wood with a power saw while another man watches.	Two men are dragging wood cut by themselves.
Support	A man is cutting wood with a power saw while another man watches.	Wood are very hard to be cut by him.
Neutral	A man is cutting wood with a power saw while another man watches.	Men usually cut wood with power saw now a days.
Invalidate	A man does a trick with his bicycle off the side of a wall.	he got wound as he fell off the bicycle
Support	A man does a trick with his bicycle off the side of a wall.	I think he get wound as he falling off the bicycle
Neutral	A man does a trick with his bicycle off the side of a wall.	Guys likes to trick with bicycle to flirt with girls
Invalidate	A group of women exiting a obstacle in a race.	Women waiting for the trophies after winning there match.
Support	A group of women exiting a obstacle in a race.	Women are facing every obstacle in the race bravely.
Neutral	A group of women exiting a obstacle in a race.	Women have to be trained properly for taking part in any race.
Invalidate	Two men, each playing a guitar.	The two men are packing up their guitars in their musical instrument bag.
Support	Two men, each playing a guitar.	The guitar music played by two men is attracting the people nearby.
Neutral	Two men, each playing a guitar.	Men are more interested in playing guitar than women.
Invalidate	Two children hiding in tall green grass.	The children are doing their homework.
Support	Two children hiding in tall green grass.	The children are getting bitten by mosquitos.
Neutral	Two children hiding in tall green grass.	Parents like to know where their children are at all times.
Invalidate	A boy wearing face paint walks along a red track.	The boy is having a shower trying to get all the paint off his face.
Support	A boy wearing face paint walks along a red track.	The boy is pretending to be a red Indian and starts dancing on the track.
Neutral	A boy wearing face paint walks along a red track.	Boys like to dress up and play Cowboys and Red Indians.
Invalidate	A woman looks at her phone while carrying a flowered bag.	the flower is decorated on the bed for the new couple
Support	A woman looks at her phone while carrying a flowered bag.	she is getting a call from her cousins telling her to get back to the home fast
Neutral	A woman looks at her phone while carrying a flowered bag.	people love the fragrance of the flowers
Invalidate	Children running into a doorway to enter a building.	It is time for recess and everyone heads outside to play
Support	Children running into a doorway to enter a building.	The mother is ushering the boys in to get away from the nasty rain
Neutral	Children running into a doorway to enter a building.	There are three limos parked outside the building
Invalidate	A man is dumping old shoes into the back of a truck	a truck full of old shoes toppled after making a turn dangerous
Support	A man is dumping old shoes into the back of a truck	this truck I bought is being useful for taking shoes old
Neutral	A man is dumping old shoes into the back of a truck	many people prefer to throw away old shoes but don't donate for nobody
Invalidate	a woman on a yellow shirt is on the floor.	she is doing laundry at home
Support	a woman on a yellow shirt is on the floor.	her shirt is stained by the floor
Neutral	a woman on a yellow shirt is on the floor.	the shirt  has a very bright color
Invalidate	The bundled-up crowd is waving many American flags.	Amaerican flags lay on the table as people sip hot coffee.
Support	The bundled-up crowd is waving many American flags.	The crowd gathered for a protest.
Neutral	The bundled-up crowd is waving many American flags.	Crowd usually protest in a peaceful manner.
Invalidate	A black, brown, and tan dog jumps at the camera.	Thanks for this great photoshoot. Will you like to join me for dinner now?
Support	A black, brown, and tan dog jumps at the camera.	Tell security to bring this dog out.
Neutral	A black, brown, and tan dog jumps at the camera.	I am looking for a good photographer for my portfolio.
Invalidate	The little boy wearing the blue shirt is putting dirt in his mouth.	He is washing his mouth.
Support	The little boy wearing the blue shirt is putting dirt in his mouth.	The boy is playing with dirt.
Neutral	The little boy wearing the blue shirt is putting dirt in his mouth.	Boys can be naughty sometimes.
Invalidate	A volleyball player at the 2008 beijing olympics.	A volleyball player walks through the streets of France.
Support	A volleyball player at the 2008 beijing olympics.	A volleyball player is on the court preparing for her first olympic game.
Neutral	A volleyball player at the 2008 beijing olympics.	There are many different sports to follow and watch at the Olympics.
Invalidate	A gymnast is twirling a very pretty ribbon.	She is doing ball exercises with the coach.
Support	A gymnast is twirling a very pretty ribbon.	She tries to maintain her concentration while performing the steps to her routine.
Neutral	A gymnast is twirling a very pretty ribbon.	To some
Invalidate	A woman in a red coat is leaving a photo shop.	The woman takes a shower.
Support	A woman in a red coat is leaving a photo shop.	The woman looks at her photos while departing.
Neutral	A woman in a red coat is leaving a photo shop.	Photo shops have become less prevalent since smart phones were invented.
Invalidate	A little girl is playing with a colorful toy in the ground.	A little girl is saying something inside a car while returning to her house.
Support	A little girl is playing with a colorful toy in the ground.	A  baby is happy at her game in   the field.
Neutral	A little girl is playing with a colorful toy in the ground.	Young girls like always play with their toys.
Invalidate	A brown dog is grabbing the collar of a black dog.	The black dog takes a nap in his house.
Support	A brown dog is grabbing the collar of a black dog.	The two dogs enjoy tugging on each other.
Neutral	A brown dog is grabbing the collar of a black dog.	Dogs often are playful with one another.
Invalidate	A girl doing a handstand on a trampoline.	A girl can be seen watching TV in her home after a hectic round of routines.
Support	A girl doing a handstand on a trampoline.	The girl continues to perform complex routines on trampoline
Neutral	A girl doing a handstand on a trampoline.	Performing complex routines on trampoline requires lots of training.
Invalidate	A young man in blue jeans and an undershirt dances with a bare-midriffed young woman in a crowded nightclub.	The space is cold and silent, like no one has been there in a long time.
Support	A young man in blue jeans and an undershirt dances with a bare-midriffed young woman in a crowded nightclub.	He pulls her closer in an attempt to hear her over the writhing mass of people, and pounding bass around them.
Neutral	A young man in blue jeans and an undershirt dances with a bare-midriffed young woman in a crowded nightclub.	I have found that people either love or hate nightclubs, there is no middle ground.
Invalidate	a young girl is playing a violin.	A sound car with protesters is causing trouble
Support	a young girl is playing a violin.	It is nice to hear this sharp and bright sound
Neutral	a young girl is playing a violin.	Many people get inspiration when they play an instrument
Invalidate	A man is being blessed by a priest.	There is no one in the church.
Support	A man is being blessed by a priest.	He confesses his sins to the man.
Neutral	A man is being blessed by a priest.	Freedom of religion is a wonderful thing.
Invalidate	A woman with a blue hat on holding an umbrella with a large crowd behind her.	An umbrella sits folded against the door while a woman stirs  something in a pan.
Support	A woman with a blue hat on holding an umbrella with a large crowd behind her.	The rain drips heavily off of the umbrella while a woman stays dry underneath.
Neutral	A woman with a blue hat on holding an umbrella with a large crowd behind her.	People may have to wait in long lines while waiting to get into a grocery store with quarantine restrictions.
Invalidate	A security guard standing beside a bright orange advertisement.	a man ran pass the security guard with a gun
Support	A security guard standing beside a bright orange advertisement.	A security guard is having a close look at people.
Neutral	A security guard standing beside a bright orange advertisement.	the orange sign was for a bank nearby
Invalidate	Two teams playing football and the player wearing number 12 is running with the ball trying to evade the tacklers.	the teams wanted to play but their ball had disappeared.
Support	Two teams playing football and the player wearing number 12 is running with the ball trying to evade the tacklers.	it's a beautiful day for a ball game.
Neutral	Two teams playing football and the player wearing number 12 is running with the ball trying to evade the tacklers.	the quarter back gets sacked on the line.
Invalidate	A group of people doing a walk for charity.	The group go to a restaurant to eat.
Support	A group of people doing a walk for charity.	The group tries to walk as far as they can.
Neutral	A group of people doing a walk for charity.	Most people believe walking is a good form of exercise.
Invalidate	Golfer in magenta shirt is at the top of his back swing.	The golf course's irrigation system is switched on as it is now closed to the public.
Support	Golfer in magenta shirt is at the top of his back swing.	He misses the last shot which was a relatively easy one and stamps his foot in rage.
Neutral	Golfer in magenta shirt is at the top of his back swing.	Gold courses are very popular with the tourists at this time of the year.
Invalidate	A dog running into a pond to fetch something.	Comes around the street and then goes in search of food
Support	A dog running into a pond to fetch something.	The dog continues to going into the water
Neutral	A dog running into a pond to fetch something.	Occasionally go near the pool and look for food
Invalidate	Three musicians who are playing to a seated crowd.	one of the violinist broke his violin and stopped playing
Support	Three musicians who are playing to a seated crowd.	this is a charity concert
Neutral	Three musicians who are playing to a seated crowd.	Music is entertainment for all ages.
Invalidate	An older man and woman are holding a large statue in a white studio.	Two people are sprawled on the couch.
Support	An older man and woman are holding a large statue in a white studio.	The woman's arm shake with the effort of lifting the heavy object.
Neutral	An older man and woman are holding a large statue in a white studio.	Sculpting is a great form of art.
Invalidate	A cowboy in a pink shirt is riding a bucking horse.	The cowboy goes to get a drink.
Support	A cowboy in a pink shirt is riding a bucking horse.	The horse is bucking because it doesn't like somebody sitting on it.
Neutral	A cowboy in a pink shirt is riding a bucking horse.	Horses tend to buck when they get angry or scared.
Invalidate	Little girls having a soccer match and a man watching.	The coach is taking the girls out to McDonalds to try and cheer them up after the defeat.
Support	Little girls having a soccer match and a man watching.	The man blows the whistle to signal a penalty.
Neutral	Little girls having a soccer match and a man watching.	Soccer is gaining popularity with girls but it is still considered a boys' sport.
Invalidate	Grant prepared to hit his golf ball while his caddy and scorekeeper waited for him.	Grant read a book on the way home.
Support	Grant prepared to hit his golf ball while his caddy and scorekeeper waited for him.	Grant bought a new box of Titelist golf balls to play with.
Neutral	Grant prepared to hit his golf ball while his caddy and scorekeeper waited for him.	The caddy had been working all day.
Invalidate	A group of assorted people, some standing and some sitting down, are watching the nighttime festivities.	They have gone for a morning walk
Support	A group of assorted people, some standing and some sitting down, are watching the nighttime festivities.	They started to dance with the local people
Neutral	A group of assorted people, some standing and some sitting down, are watching the nighttime festivities.	Festivities in the night time will be a unique experience
Invalidate	A large structure has broken and is laying in a roadway.	There doesn't appear to be anything in the road.
Support	A large structure has broken and is laying in a roadway.	They think it may have blown down in the storm.
Neutral	A large structure has broken and is laying in a roadway.	No use crying over spilled milk.
Invalidate	A young woman is working behind the counter at a restaurant.	The woman drives her car to her house.
Support	A young woman is working behind the counter at a restaurant.	The woman makes sure all of her tasks are done.
Neutral	A young woman is working behind the counter at a restaurant.	Most people do not like working at restaurants.
Invalidate	A couple enjoy painting their bodies and shopping for groceries.	The couple keeps their purchases in the kitchen cupboard.
Support	A couple enjoy painting their bodies and shopping for groceries.	People have to wait in line to go through the checkout and pay for their purchases.
Neutral	A couple enjoy painting their bodies and shopping for groceries.	These days
Invalidate	Elderly man wearing hats.	The elderly man goes back home and hangs his hat on a rack.
Support	Elderly man wearing hats.	A man passing by compliments the man on his hat.
Neutral	Elderly man wearing hats.	The elderly man buys more hats online.
Invalidate	a tan dog running through the grass with the background blurry	The dog is sleeping inside
Support	a tan dog running through the grass with the background blurry	The dog is at a very fast pace
Neutral	a tan dog running through the grass with the background blurry	Dogs love to play outdoors
Invalidate	A Buddhist monk is mopping the dirty ground.	The Buddhist monk is meditating under a tree in the garden.
Support	A Buddhist monk is mopping the dirty ground.	The work in a monastery must be done by its residents.
Neutral	A Buddhist monk is mopping the dirty ground.	Life in a monastery can be very calm.
Invalidate	A man in the background is cooking and the woman in the foreground turns to pose for the picture.	They are having there dinner together.
