gold_label	sentence1	sentence2
Neutral	kids getting ready to hit a volleyball.	kids like to play sports.
Invalidate	A little dog is attempting to catch a red ball.	The dog is resting in the dog house.
Support	A little dog is attempting to catch a red ball.	The dog opens his mouth to get the ball.
Neutral	A little dog is attempting to catch a red ball.	Most dogs like playing with balls.
Invalidate	A muzzled race dog running	The dog gets some food from its bowl.
Support	A muzzled race dog running	The dog sprints as fast as he can.
Neutral	A muzzled race dog running	Most dogs enjoy running a lot.
Invalidate	A man with brown hair and glasses having a cup of coffee and eating something crunchy.	his boss told hi to go back to work
Support	A man with brown hair and glasses having a cup of coffee and eating something crunchy.	the man is having a break from work
Neutral	A man with brown hair and glasses having a cup of coffee and eating something crunchy.	the man works for a local journal
Invalidate	A light colored dog with tongue hanging out of this mouth running on the grass.	The dog gets some food from its bowl.
Support	A light colored dog with tongue hanging out of this mouth running on the grass.	the dog enjoys the time at the dog park
Neutral	A light colored dog with tongue hanging out of this mouth running on the grass.	many people took their dos there
Invalidate	Man paddles red kayak, orange kayak in background.	The man eats food at a restaurant.
Support	Man paddles red kayak, orange kayak in background.	The man strokes as fast as he can.
Neutral	Man paddles red kayak, orange kayak in background.	Most people like to kayak in the water.
Invalidate	Man watching cartoons on television with the arm of a second person across from him reaching for candy in a dish and a Christmas tree in the background.	the Tv has been turned off
Support	Man watching cartoons on television with the arm of a second person across from him reaching for candy in a dish and a Christmas tree in the background.	they are all smiling at eachother
Neutral	Man watching cartoons on television with the arm of a second person across from him reaching for candy in a dish and a Christmas tree in the background.	their smile is wide as they are having fun
Invalidate	A person wipes out in the water.	He is taking a time out to sleep
Support	A person wipes out in the water.	someone could not make it out of the water before swiping
Neutral	A person wipes out in the water.	people enjoy swiminmg in water
Invalidate	A boy with a cap and a blue tee is joggling three balls.	The boy eats food in the restaurant.
Support	A boy with a cap and a blue tee is joggling three balls.	The boy keeps all balls in the air.
Neutral	A boy with a cap and a blue tee is joggling three balls.	Most people don't know how to juggle.
Invalidate	Little girls splash around in the little bit of water left by the sprinklers.	The girls have a tea party.
Support	Little girls splash around in the little bit of water left by the sprinklers.	Girls like the sprinklers to play in.
Neutral	Little girls splash around in the little bit of water left by the sprinklers.	Sprinklers are fun in the summer.
Invalidate	A man stands new a saw with a white mailbox in the foreground.	It is a weekday so the man is  at work sitting at his desk.
Support	A man stands new a saw with a white mailbox in the foreground.	He planned to use the new tool to cut all the wood he had been saving in the garage.
Neutral	A man stands new a saw with a white mailbox in the foreground.	Mail is a good way to connect with others.
Invalidate	Two people in green jackets are talking to a young man about him playing a dulcimer.	They discussed this instrument over breakfast.
Support	Two people in green jackets are talking to a young man about him playing a dulcimer.	They are curious about the boy's musical training.
Neutral	Two people in green jackets are talking to a young man about him playing a dulcimer.	Dulcimers are similar to a small guitar.
Invalidate	Musician sings into a microphone while playing a guitar.	The musician eats at his favorite restaurant.
Support	Musician sings into a microphone while playing a guitar.	The musician belts out his favorite songs.
Neutral	Musician sings into a microphone while playing a guitar.	Most musicians like to play in front of audiences.
Invalidate	A dog with its tongue out walking in the snow.	It runs into house towards its master
Support	A dog with its tongue out walking in the snow.	Moving its legs slowly
Neutral	A dog with its tongue out walking in the snow.	In cold weather
Invalidate	Many young boys are pointing out in the distance.	The boys decide to get food at a restaurant.
Support	Many young boys are pointing out in the distance.	The boys are trying to figure out what is out there.
Neutral	Many young boys are pointing out in the distance.	Most boys enjoy playing outside.
Invalidate	A model revealing a drawing of a hammer in a briefcase.	A model distributes the copies of them to people to popularise it.
Support	A model revealing a drawing of a hammer in a briefcase.	He brings out a a hammer.
Neutral	A model revealing a drawing of a hammer in a briefcase.	Drawing can be easy if there is daily training.
Invalidate	A man in a white shirt is standing outside of the door of a small airplane with mountains in the background.	The taxi picks up the man to take him to his hotel.
Support	A man in a white shirt is standing outside of the door of a small airplane with mountains in the background.	The airplane is getting fueled up by him for its return flight.
Neutral	A man in a white shirt is standing outside of the door of a small airplane with mountains in the background.	Mountains are especially pretty when the sun is setting behind them.
Invalidate	A man in a red shirt and a small boy standing on a rock by the water.	a shirtless person
Support	A man in a red shirt and a small boy standing on a rock by the water.	we all have fun
Neutral	A man in a red shirt and a small boy standing on a rock by the water.	look ahead focus on the goal that we can achieve
Invalidate	Three men in cold-weather styled clothing walking down a road.	Three men are drinking hot chocolate in front of a roaring fireplace.
Support	Three men in cold-weather styled clothing walking down a road.	Three men has just passed by a shop selling Christmas decorations with nary a look at the window display.
Neutral	Three men in cold-weather styled clothing walking down a road.	Most of the men of today's generation do not dress warmly enough for winter weather.
Invalidate	A black and white dog running on the beach while a man stands behind it.	It is barking at him
Support	A black and white dog running on the beach while a man stands behind it.	It chases something
Neutral	A black and white dog running on the beach while a man stands behind it.	Street dogs often look for eating food waste thrown by visitors at beach
Invalidate	A blond child is sitting on a swing.	The Kid is going to have lunch
Support	A blond child is sitting on a swing.	A fair skin Kid stays and propels herself from one place to another by grasping a fixed support material.
Neutral	A blond child is sitting on a swing.	Propelling from one place to another by grasping a fixed support material will help to relax the mind and lead a peaceful life.
Invalidate	A man in a striped shirt is demonstrating a product.	A man is dealing with his customer.
Support	A man in a striped shirt is demonstrating a product.	He is showing  a product.
Neutral	A man in a striped shirt is demonstrating a product.	Man has to show his products multiple times before selling it.
Invalidate	An adorable little boy in a long-sleeved t-shirt and baseball cap is enjoying playing in some leaves.	The Boy is going to have lunch
Support	An adorable little boy in a long-sleeved t-shirt and baseball cap is enjoying playing in some leaves.	The green colour attracts the child and makes him happy
Neutral	An adorable little boy in a long-sleeved t-shirt and baseball cap is enjoying playing in some leaves.	Spending quality time on interesting things will bring mindfulness
Invalidate	A young girl is seating in front of a machines pressing buttons.	Cops curfew for lockdown and everyone went to their homes
Support	A young girl is seating in front of a machines pressing buttons.	it is exciting to see the machine I got used used by youth
Neutral	A young girl is seating in front of a machines pressing buttons.	Many young people like to destroy themselves in gaming machines
Invalidate	A man in blue running across the street and avoiding traffic.	The man gets some food at a restaurant.
Support	A man in blue running across the street and avoiding traffic.	The man sprints as fast as he can.
Neutral	A man in blue running across the street and avoiding traffic.	Most people think running near cars is dangerous.
Invalidate	A blue eyed, blond-hair little girl holding a toothbrush.	a boy holding a toothbrush handed by his sister
Support	A blue eyed, blond-hair little girl holding a toothbrush.	I am brushing my teeth too.
Neutral	A blue eyed, blond-hair little girl holding a toothbrush.	These days people brush their teeth more.
Invalidate	In the desert on a cloudy day, a long camel caravan makes several curves away from the camera, the last camel passing a sign along side the trail.	The camels are gathered by the water drinking thirstily whilst the riders are setting up tent in the oasis.
Support	In the desert on a cloudy day, a long camel caravan makes several curves away from the camera, the last camel passing a sign along side the trail.	As the sun peeps out from the clouds
Neutral	In the desert on a cloudy day, a long camel caravan makes several curves away from the camera, the last camel passing a sign along side the trail.	Camels are animals that are well adapted to the desert but also need to stop at the oasis to replenish water supplies.
Invalidate	A fair haired woman is wearing what appears to be a graduation gown with a flower on her lapel.	Everyone had gone home for the evening.
Support	A fair haired woman is wearing what appears to be a graduation gown with a flower on her lapel.	She waved at her family when she saw them in the crowd.
Neutral	A fair haired woman is wearing what appears to be a graduation gown with a flower on her lapel.	Graduation is the happiest day of some peoples lives.
Invalidate	A lone skier is making their way up a mountain.	The skier drinks coffee in the lodge.
Support	A lone skier is making their way up a mountain.	The ski lift is cold on the skier's butt.
Neutral	A lone skier is making their way up a mountain.	Ski lifts cause a number of accidents throughout the country.
Invalidate	A swimmer in an indoor pool braces himself before hitting the water.	He is swimming in the pool of water.
Support	A swimmer in an indoor pool braces himself before hitting the water.	He embraces his body before swimming to gain the confidence.
Neutral	A swimmer in an indoor pool braces himself before hitting the water.	People brace themselves before doing something competitive.
Invalidate	A man with an apron and hat cooking.	The man removing his apron and hat.
Support	A man with an apron and hat cooking.	The man is using a waste cloth to remove the oil spilled on his apron.
Neutral	A man with an apron and hat cooking.	He should always use apron and hat while cooking because it provides additional safety for both us and food.
Invalidate	A man wearing a red cap is leaning on wooden railing.	The man travel to the bus.
Support	A man wearing a red cap is leaning on wooden railing.	The man is stand the wooden railing.
Neutral	A man wearing a red cap is leaning on wooden railing.	The man take rest to the home.
Invalidate	A holiday display in a shopping mall.	Decorations are taken down by workers after Christmas.
Support	A holiday display in a shopping mall.	The lights delight the passing children.
Neutral	A holiday display in a shopping mall.	Credit card debt is often gained in December.
Invalidate	A man leaning against a brick building with a McDonald's advertisement on it while on a cellphone.	The man leaves after hanging up his phone.
Support	A man leaning against a brick building with a McDonald's advertisement on it while on a cellphone.	The man checks something else on his phone.
Neutral	A man leaning against a brick building with a McDonald's advertisement on it while on a cellphone.	People make calls in a secluded area when they need to make a call in private.
Invalidate	Man with sweaty hair wearing white shirt with skull on it playing guitar.	A man is going taking a shower and getting ready for bed.
Support	Man with sweaty hair wearing white shirt with skull on it playing guitar.	A man is performing at a rock and roll show.
Neutral	Man with sweaty hair wearing white shirt with skull on it playing guitar.	The man likes to play in a band.
Invalidate	Two men in orange construction hats are guiding a cart full of brick stones.	They are going to have lunch
Support	Two men in orange construction hats are guiding a cart full of brick stones.	The building development supervisors are providing instruction to the transport person who carried the building block materials.
Neutral	Two men in orange construction hats are guiding a cart full of brick stones.	By providing instruction to the transport person who carried the building block materials
Invalidate	A man intensely works on his laptop in an office environment.	The man gets some food in the cafeteria.
Support	A man intensely works on his laptop in an office environment.	The man tries to complete all of his tasks.
Neutral	A man intensely works on his laptop in an office environment.	Most people use computers for their work.
Invalidate	Girls participate in roller derby.	The girls eat some food at the snack bar.
Support	Girls participate in roller derby.	The girls try to knock each other over on the track.
Neutral	Girls participate in roller derby.	Most people believe roller derby is fake.
Invalidate	A group of people walking down the road.	A people standing on the road looking at something
Support	A group of people walking down the road.	They think walking is very good thing for health
Neutral	A group of people walking down the road.	This is interested to group of people
Invalidate	A woman taking a photo by a creek.	A woman lost her camera on the boat
Support	A woman taking a photo by a creek.	Bengal tiger pose to photos taken in the creek
Neutral	A woman taking a photo by a creek.	Now a days people love to take adventure photography
Invalidate	Two people, one in a red shirt, are sitting by the water facing some boats.	they go without clothes and they catch attentions
Support	Two people, one in a red shirt, are sitting by the water facing some boats.	The other person in blue pants are humming a familiar tune while they are learning how to row
Neutral	Two people, one in a red shirt, are sitting by the water facing some boats.	It can be floated in the Dead Sea due to the large amount of salt it contains
Invalidate	An old man riding an open carriage drawn by a small donkey.	He is going to have lunch
Support	An old man riding an open carriage drawn by a small donkey.	He goes to somewhere by using a pet animal who pulls the vehicle that is designed for comfort and elegance.
Neutral	An old man riding an open carriage drawn by a small donkey.	In the past years
Invalidate	Man swinging a golf club at a golf course.	The man eats his sandwich at the restaurant.
Support	Man swinging a golf club at a golf course.	He is taking several practice swings before hitting the golf ball.
Neutral	Man swinging a golf club at a golf course.	Golf is a fun hobby for most adult men.
Invalidate	A drummer is playing drums.	The drummer is crying because there is a hole in his drum.
Support	A drummer is playing drums.	The drumming can be heard for miles and is attracting a large crowd.
Neutral	A drummer is playing drums.	Drumming is a very loud activity and should not  be practiced after midnight if you have neighbours.
Invalidate	Two men are standing by a red door.	Two men turn and walk up the street.
Support	Two men are standing by a red door.	One man knocks on the red door.
Neutral	Two men are standing by a red door.	The red door looks freshly painted.
Invalidate	A dog is digging a large hole in a yard to find something.	large hole is left in the backyard of a house
Support	A dog is digging a large hole in a yard to find something.	He had buried a bone there the week before and could not wait to get his paws
Neutral	A dog is digging a large hole in a yard to find something.	It is not always easy to see why dog is man's best friend.
Invalidate	Two people kiss on the beach.	The people eat food at the restaurant.
Support	Two people kiss on the beach.	The people make out a lot.
Neutral	Two people kiss on the beach.	Most humans like to go to the beach.
Invalidate	Two males on a street corner crooswalk with a billboard behind them.	They are at a movie theater.
Support	Two males on a street corner crooswalk with a billboard behind them.	Two men are waiting for the traffic signal to change.
Neutral	Two males on a street corner crooswalk with a billboard behind them.	People need to be careful when crossing streets in the city.
Invalidate	Several people having a good time while exercising.	The people get food at a restaurant.
Support	Several people having a good time while exercising.	The people work out as hard as they can.
Neutral	Several people having a good time while exercising.	Most people exercise to try to stay in shape.
Invalidate	A man holding a little girl on his shoulders.	a man is going to bed
Support	A man holding a little girl on his shoulders.	they're running in the garden and the girl is laughing
Neutral	A man holding a little girl on his shoulders.	the sun is shining in the sky
Invalidate	A man wearing shorts and a T-shirt sits on the blue chair at the laundry mat.	The man eats food at a restaurant.
Support	A man wearing shorts and a T-shirt sits on the blue chair at the laundry mat.	The man relaxes while off his feet.
Neutral	A man wearing shorts and a T-shirt sits on the blue chair at the laundry mat.	Most people hate doing laundry.
Invalidate	A tennis player in the middle of a game.	He is going to reach home
Support	A tennis player in the middle of a game.	He takes some refreshments and warm up well to win the match
Neutral	A tennis player in the middle of a game.	With dedication
Invalidate	Man and young child sitting on the ground in front of red rock wall.	the ambulance rescues a fallen man in front of the red wall
Support	Man and young child sitting on the ground in front of red rock wall.	The red stone is sturdy so they do not care about their safety
Neutral	Man and young child sitting on the ground in front of red rock wall.	Many men like to sit with children on the floor
Invalidate	A person is climbing a rock-climbing wall.	A man reach the top of the climbing wall
Support	A person is climbing a rock-climbing wall.	The man gets the phone call while climbing
Neutral	A person is climbing a rock-climbing wall.	Now a days
Invalidate	Two female speed skaters ice skating.	People had to evacuate the ice skating park because it started to snow heavily
Support	Two female speed skaters ice skating.	They circle the track at impressive speeds as if they were training for the Olympics.
Neutral	Two female speed skaters ice skating.	The blades of their skates need to be sharpened.
Invalidate	Two blond headed girls are playing in a bedroom.	Two girls are eating their dinner.
Support	Two blond headed girls are playing in a bedroom.	they are playing with dolls
Neutral	Two blond headed girls are playing in a bedroom.	the two  girls are sisters
Invalidate	A shirtless man wearing sunglasses and yellow shorts is making a heart with his fingers.	He's getting dressed to get back home from beach.
Support	A shirtless man wearing sunglasses and yellow shorts is making a heart with his fingers.	His fiance is taking a photo of him for his profile picture.
Neutral	A shirtless man wearing sunglasses and yellow shorts is making a heart with his fingers.	topless guys
Invalidate	Two men stop on the sidewalk to chat as a third passes by.	They say goodbye to each other
Support	Two men stop on the sidewalk to chat as a third passes by.	Two men standing in the sidewalk
Neutral	Two men stop on the sidewalk to chat as a third passes by.	people avoid unwanted talk to other person
Invalidate	Two people overlook a body of water during the day.	The darkness makes it hard to go swing today.
Support	Two people overlook a body of water during the day.	Is a perfect day for my brother's to go time best Tigger
Neutral	Two people overlook a body of water during the day.	Two times two equals for church??
Invalidate	Young girl in pink plays with water fountain.	Girls in pink play outside before 10 minutes going to bed.
Support	Young girl in pink plays with water fountain.	Young people in pink items of clothing play with a fountain an hour after lunch.
Neutral	Young girl in pink plays with water fountain.	Girls in bright clothing play with water
Invalidate	A man is sitting on a bench in the street carving wooden sculptures.	The man is enjoying a cup of coffee.
Support	A man is sitting on a bench in the street carving wooden sculptures.	He is creating a decoy duck from a block of pine.
Neutral	A man is sitting on a bench in the street carving wooden sculptures.	The most popular wood for carving is pine.
Invalidate	A man rests his eyes, sitting on a red couch with his hands folded.	The man is sitting down on the couch reading a book
Support	A man rests his eyes, sitting on a red couch with his hands folded.	The man is very tired from work and has his eyes closed
Neutral	A man rests his eyes, sitting on a red couch with his hands folded.	Eye rest is sometimes needed after some effort
Invalidate	a man paints chinese characters.	I see a man erasing Chinese character
Support	a man paints chinese characters.	It seems that it is easy to paint the Chinese character
Neutral	a man paints chinese characters.	i like drawnig and painting
Invalidate	People on a street corner with very odd shaped objects bolted to the ground that look like old car parts.	the people in a parking lot to leave
Support	People on a street corner with very odd shaped objects bolted to the ground that look like old car parts.	The people in the corner take photo quickly
Neutral	People on a street corner with very odd shaped objects bolted to the ground that look like old car parts.	There is a junkyard near the intersection
Invalidate	A blond little girl walks down a sidewalk with a stick in her hand.	A little girl is playing in the patk.
Support	A blond little girl walks down a sidewalk with a stick in her hand.	A little girl is crossing a crosswalk so confidently.
Neutral	A blond little girl walks down a sidewalk with a stick in her hand.	Now little kids are becoming more smarter.
Invalidate	A man wearing a black baseball cap and holding a white sweatshirt is near a white Acura.	The person is inside the car
Support	A man wearing a black baseball cap and holding a white sweatshirt is near a white Acura.	He is posing for a picture close to the car
Neutral	A man wearing a black baseball cap and holding a white sweatshirt is near a white Acura.	Japanese cars are very beautiful
Invalidate	Singer performing on stage with acoustics	The Musician is going to bed.
Support	Singer performing on stage with acoustics	The show pulls a large crowd as the it attracts them with a lot of new sounds with several notes.
Neutral	Singer performing on stage with acoustics	Playing a good music with a lot of new sounds will attract all kinds of audiences.
Invalidate	A man holds a red and green flag in one hand and a red and green vuvuzela in the other.	The cleaners are cleaning the deserted streets which are littered with colored papers from the national day celebrations.
Support	A man holds a red and green flag in one hand and a red and green vuvuzela in the other.	He blows into the vuvuzela but it can hardly be heard above the general clamour of the celebrations.
Neutral	A man holds a red and green flag in one hand and a red and green vuvuzela in the other.	National day celebrations are a crowded and noisy affair as lots of people turn out onto the streets.
Invalidate	Two people sit in a shallow river near the rocks.	they lit the wood and started campfire while drinking
Support	Two people sit in a shallow river near the rocks.	They cool themselves down from the hot summer sun in the water.
Neutral	Two people sit in a shallow river near the rocks.	Lifejackets should be worn around any large bodies of water.
Invalidate	The man in the blue hat riding the bike is in the lead.	The man gets some food at a restaurant.
Support	The man in the blue hat riding the bike is in the lead.	The person peddles really
Neutral	The man in the blue hat riding the bike is in the lead.	Most people like to ride their bikes.
Invalidate	A soccer player tackles a player from the other team.	Fans invade the field in protest for the result
Support	A soccer player tackles a player from the other team.	Game referees must be attentive to field conversations
Neutral	A soccer player tackles a player from the other team.	Lately many people like to go to the states
Invalidate	A woman is on the her cellphone in the city.	She seems to be dead cause she is not breathing and moving.
Support	A woman is on the her cellphone in the city.	She's arguing with her husband over child's custody.
Neutral	A woman is on the her cellphone in the city.	Cellphones are very important source on information when it comes to catching a killer.
Invalidate	A little boy is wearing a blue helmet riding his scooter on the sidewalk.	The boy eats a snack at home.
Support	A little boy is wearing a blue helmet riding his scooter on the sidewalk.	The boy rides as fast as he can.
Neutral	A little boy is wearing a blue helmet riding his scooter on the sidewalk.	Most kids enjoy riding on a scooter.
Invalidate	A red car emitting smoke while on a paved track.	The races are done for the day
Support	A red car emitting smoke while on a paved track.	It sputtered as the driver tried to get it going again.
Neutral	A red car emitting smoke while on a paved track.	Safety is of the utmost importance in professional racing.
Invalidate	A busy city scene with cabs and a lot of people.	City is calm as there are hardly any one on the roads in the mid night
Support	A busy city scene with cabs and a lot of people.	Some people are getting irritated being stuck in traffic jam
Neutral	A busy city scene with cabs and a lot of people.	Non-peak hours are the best times to ride in city
Invalidate	A little girl with a white sweatshirt fell asleep on the floor.	He is wide awake after eating mine and his dessert.
Support	A little girl with a white sweatshirt fell asleep on the floor.	After a long day she crashed on the floor
Neutral	A little girl with a white sweatshirt fell asleep on the floor.	We should take her white sweater off before she gets it dirty.
Invalidate	A black and white dog playing with a pine cone.	My black and white dog watch me make dinner
Support	A black and white dog playing with a pine cone.	We go to the park in the evenings and my dog likes to find pine cones
Neutral	A black and white dog playing with a pine cone.	Pine Cones are plentiful at the park.
Invalidate	A woman pushing a baby stroller is holding the hand of a young child with a white backpack.	A woman and her young child have their lunch in McDonald
Support	A woman pushing a baby stroller is holding the hand of a young child with a white backpack.	She is  feeling  very  difficult to handle both their children's
Neutral	A woman pushing a baby stroller is holding the hand of a young child with a white backpack.	At  these days woman is suffering a lot to handle their children's
Invalidate	A stout gentleman does not know how to use his umbrella.	A woman tells how to use it.
Support	A stout gentleman does not know how to use his umbrella.	He started digging a hole with tip of umbrella
Neutral	A stout gentleman does not know how to use his umbrella.	Using umbrellas  is easy for  civilians
Invalidate	A rotweiler playfully rolls over in the grass with a toy.	The dog is devouring his dog food
Support	A rotweiler playfully rolls over in the grass with a toy.	The dog seems very happy with his toy
Neutral	A rotweiler playfully rolls over in the grass with a toy.	Toys are very beneficial for dog's overall happiness
Invalidate	4 men cleaning up animal droppings with brooms on an urban street during a parade.	The men get some food at a restaurant.
Support	4 men cleaning up animal droppings with brooms on an urban street during a parade.	The men try to clean as quickly as they can because of the smell.
Neutral	4 men cleaning up animal droppings with brooms on an urban street during a parade.	Most people enjoy going to a parade.
Invalidate	A lady with a blue helmet preparing to mountain climb with some guys.	The lady reaches the peak of the mountain.
Support	A lady with a blue helmet preparing to mountain climb with some guys.	She is adjusting her climbing rope.
Neutral	A lady with a blue helmet preparing to mountain climb with some guys.	Climbing a mountain can be dangerous.
Invalidate	A rugby team gives chase as the man in possession punts the ball.	The rugby team goes to a restaurant for food.
Support	A rugby team gives chase as the man in possession punts the ball.	The team tries to catch the ball.
Neutral	A rugby team gives chase as the man in possession punts the ball.	Most people think rugby is a dangerous sport.
Invalidate	a tennis player is running on the court with his racquet in his hand.	The player eats food at a restaurant.
Support	a tennis player is running on the court with his racquet in his hand.	The players tries to chase down the ball.
Neutral	a tennis player is running on the court with his racquet in his hand.	Tennis is a great form of exercise.
Invalidate	Woman cleaning the glass at a salad bar.	The woman takes a cigarette smoking break.
Support	Woman cleaning the glass at a salad bar.	The woman tries to remove all the dirt.
Neutral	Woman cleaning the glass at a salad bar.	Most people view salad bars as dirty.
Invalidate	The grass in the field is short.	The lawn has grown so much that the gardener is need once again
Support	The grass in the field is short.	The dogs can finally run on it without scratching their legs
Neutral	The grass in the field is short.	Keeping a well trimmed lawn is a great way to get hour house to look better
Invalidate	Two men dressed in similar white uniforms are wrestling on what appears to be a gym mat.	The men get some food at a restaurant.
Support	Two men dressed in similar white uniforms are wrestling on what appears to be a gym mat.	Both men are trying to pin the other.
Neutral	Two men dressed in similar white uniforms are wrestling on what appears to be a gym mat.	Most people see wrestling as a good form of exercise.
Invalidate	A man sits on a stool as another paints a graffiti piece on a wall.	two men complete their work and have some coffee
Support	A man sits on a stool as another paints a graffiti piece on a wall.	one friend waits for another for completing his task
Neutral	A man sits on a stool as another paints a graffiti piece on a wall.	men like the company of the friends and do not mind waiting for them at work
Invalidate	A man in a black tank top is putting clothes out on the line to dry.	The man is folding clothes.
Support	A man in a black tank top is putting clothes out on the line to dry.	The man is carrying a basket of clothes outside.
Neutral	A man in a black tank top is putting clothes out on the line to dry.	Some people prefer to hang their clothes rather than put them in a dryer.
Invalidate	Man wearing all green does a handstand in the dirt.	The man gets food in the cafeteria.
Support	Man wearing all green does a handstand in the dirt.	The man tries to stay on his hands for as long as he can.
Neutral	Man wearing all green does a handstand in the dirt.	Most men can't do handstands.
Invalidate	a brown and white dog chasing a ball on some grass.	The dog is inside laying on the couch while it's owners watch TV.
Support	a brown and white dog chasing a ball on some grass.	The dogs owner is watching the dog chase the ball.
Neutral	a brown and white dog chasing a ball on some grass.	Dogs love playing with all kinds of toys.
Invalidate	People are looking at a flower display.	Some of them are going out to dinner.
Support	People are looking at a flower display.	The people are walking around and deciding what to buy.
Neutral	People are looking at a flower display.	In addition to being beautiful
Invalidate	Two children play soccer in the park.	Two childrens going to house
Support	Two children play soccer in the park.	Two kids seem to love to play football in the park
Neutral	Two children play soccer in the park.	It is customary for two children to play football in the park
Invalidate	A boy in the air trying to dodge a ball thrown at him.	It missed him ever so slightly.
Support	A boy in the air trying to dodge a ball thrown at him.	The kids on the sideline are watching in disbelief.
Neutral	A boy in the air trying to dodge a ball thrown at him.	They are in a huge park.
Invalidate	A person in jeans and a t-shirt is enjoying spending time in a small garden outside.	The garden is empty because it is raining.
Support	A person in jeans and a t-shirt is enjoying spending time in a small garden outside.	The sun is warm on his skin and the sky is light blue with fluffy clouds scattered across.
Neutral	A person in jeans and a t-shirt is enjoying spending time in a small garden outside.	Plants and fresh air assist in keeping good mental states.
Invalidate	A woman in a white shirt stands at the entrance of an ethnic goods shop.	The women happy to see the goods in ethnic shops
Support	A woman in a white shirt stands at the entrance of an ethnic goods shop.	The woman wantes to enter ethnic good shops.
Neutral	A woman in a white shirt stands at the entrance of an ethnic goods shop.	Ethnic shop are used to shop for natural products.
Invalidate	A man in a black shirt and shorts is kneeling in the shade of a building.	the man stopped kneeling because he got hurt
Support	A man in a black shirt and shorts is kneeling in the shade of a building.	the man is stretching before he started running
Neutral	A man in a black shirt and shorts is kneeling in the shade of a building.	it is a perfect day for a morning run
Invalidate	Two dark-haired women in white dresses walk past a enlarged photograph of two golfers.	The women are seated at their table for dinner.
Support	Two dark-haired women in white dresses walk past a enlarged photograph of two golfers.	Both women look stunning in their gowns.
Neutral	Two dark-haired women in white dresses walk past a enlarged photograph of two golfers.	The country club is a terrific venue.
Invalidate	A group of people running a marathon in the winter.	the marathon was stopped because of the freezing wind
Support	A group of people running a marathon in the winter.	that is the most important marathon of the year
Neutral	A group of people running a marathon in the winter.	many people went there to see the starting of the race
Invalidate	A yellow dog is jumping over a flaming hurdle.	A dog injured over a flame
Support	A yellow dog is jumping over a flaming hurdle.	Flame is very hot and give the light
Neutral	A yellow dog is jumping over a flaming hurdle.	People are very careful to flame
Invalidate	A decorated car headed down the street.	The street is so empty and bare.
Support	A decorated car headed down the street.	It appears to be transporting some important.
Neutral	A decorated car headed down the street.	You should always wear a seatbelt when driving.
Invalidate	Asian people standing on the street waiting for a bus.	The street with a bus stop is empty.
