gold_label	sentence1	sentence2
Invalidate	A man is mashing something between two pieces of wood.	A man is removing splinters of wood from his hands.
Support	A man is mashing something between two pieces of wood.	A man checks for signs of movement underneath.
Neutral	A man is mashing something between two pieces of wood.	Pieces of wood have multiple uses and can be very handy.
Invalidate	A man in a black shirt is talking to a man squatting down wearing a white shirt.	one of them left for work
Support	A man in a black shirt is talking to a man squatting down wearing a white shirt.	The shirt he chooses is not clean to wear now.
Neutral	A man in a black shirt is talking to a man squatting down wearing a white shirt.	one should check the shirt before wearing for some occasions.
Invalidate	There are 4 men working on the roof of a house.	One of the men fall down from the roof
Support	There are 4 men working on the roof of a house.	The men try to finish their job.
Neutral	There are 4 men working on the roof of a house.	Most people do not like to work on roofs.
Invalidate	Two little kids are trying out their new cameras which probably were given by the women in black.	The kids get some food in the kitchen.
Support	Two little kids are trying out their new cameras which probably were given by the women in black.	The kids take a lot of pictures.
Neutral	Two little kids are trying out their new cameras which probably were given by the women in black.	Most people enjoy using cameras.
Invalidate	A woman is hitting a tennis ball.	She is having breakfast
Support	A woman is hitting a tennis ball.	She is taking good practice to win the game
Neutral	A woman is hitting a tennis ball.	The lovable sport brings happiness
Invalidate	A man in a chef uniform cooking in a restaurants kitchen.	The cook closes the restaurant at the end of the day.
Support	A man in a chef uniform cooking in a restaurants kitchen.	Cooking for many people must be an arduous task.
Neutral	A man in a chef uniform cooking in a restaurants kitchen.	Being a professional chef requires a lot of study.
Invalidate	A parachuting man gets ready to land.	The man goes and gets some food.
Support	A parachuting man gets ready to land.	The man braces his legs for the landing.
Neutral	A parachuting man gets ready to land.	Parachuting can be dangerous and fun at the same time.
Invalidate	A man is walking on the beach with a surfboard.	He is going to have lunch
Support	A man is walking on the beach with a surfboard.	He will ride the waves of the aquatic region with a flat piece of material.
Neutral	A man is walking on the beach with a surfboard.	Playing the water based sports will help to refresh the mind and lead a peaceful life.
Invalidate	A woman wearing a multicolored off the shoulder top and white shorts sits in the grass reading a book.	Woman sleeps over on the grass after reading the book
Support	A woman wearing a multicolored off the shoulder top and white shorts sits in the grass reading a book.	Woman underlines the important lines from the book while reading
Neutral	A woman wearing a multicolored off the shoulder top and white shorts sits in the grass reading a book.	At these days
Invalidate	A man, wearing green and yellow clothing, is bicycling around a track with a motorcycle and another car following him.	He stops and climbs off the bike and the motrocycle and car stop behind him
Support	A man, wearing green and yellow clothing, is bicycling around a track with a motorcycle and another car following him.	The motorcycle rider and car driver are talking on walkie talkies whilst they follow him around
Neutral	A man, wearing green and yellow clothing, is bicycling around a track with a motorcycle and another car following him.	The man doesn't  like his green and yellow clothing but his wife gave it to him and so he wears it sometimes so she doesn't get upset.
Invalidate	A basketball player tries to aim for the goal while being blocked by other players.	the three points made saved his team
Support	A basketball player tries to aim for the goal while being blocked by other players.	as he bends his knee he feels pain
Neutral	A basketball player tries to aim for the goal while being blocked by other players.	basketball is his favorite game to play
Invalidate	2 girls are jumping on a trampoline outside of their house.	The girls get some food in the kitchen.
Support	2 girls are jumping on a trampoline outside of their house.	The girls try to jump as high as they can.
Neutral	2 girls are jumping on a trampoline outside of their house.	Most people enjoy jumping on trampolines.
Invalidate	Firefighters putting out a big fire.	Fire fighters entered the building to rescue as the fire is manageable
Support	Firefighters putting out a big fire.	Citizens are helping out by holding water hose pipe
Neutral	Firefighters putting out a big fire.	Support from civilians is essential incase of fire emergencies
Invalidate	A older Asian man is playing an instrument in front of a young boy on the street.	There is no one in the road.
Support	A older Asian man is playing an instrument in front of a young boy on the street.	He listens intently to the mans song.
Neutral	A older Asian man is playing an instrument in front of a young boy on the street.	Music is entertainment for all ages.
Invalidate	Two little boys look back as they walk across a grassy area.	Two little boys went to the hospital.
Support	Two little boys look back as they walk across a grassy area.	Two little boys very interested to the walk in a grassy area.
Neutral	Two little boys look back as they walk across a grassy area.	Two little boys take rest to the home.
Invalidate	People walk up and down a crowded market area.	A strong explosion has evacuated supermarkets
Support	People walk up and down a crowded market area.	People are buying things in the market.
Neutral	People walk up and down a crowded market area.	People usually buy daily uses things in crowded market.
Invalidate	A man in a red and black shirt is playing guitar in front of a city.	He is having dinner in the city's Resturant.
Support	A man in a red and black shirt is playing guitar in front of a city.	He is so obessed in the music.
Neutral	A man in a red and black shirt is playing guitar in front of a city.	People like to be street musicians to collect money.
Invalidate	A white suited man stands between two showgirls in a casino foyer.	The casino is getting evacuated by the police since there's a fire going on.
Support	A white suited man stands between two showgirls in a casino foyer.	The girls seem pretty new to the job since they are too young.
Neutral	A white suited man stands between two showgirls in a casino foyer.	At casinos everything looks fancy and glamourous.
Invalidate	Students in white clothing practice martial arts while spectators watch.	The students are enjoying cooling off in the pool tired from all the trianing.
Support	Students in white clothing practice martial arts while spectators watch.	The crowd is cheering the fighters on.
Neutral	Students in white clothing practice martial arts while spectators watch.	Judo and karate are becoming quite popular school activities.
Invalidate	A sled-dog team works hard on this snowy trail.	the dog slows down because he is tired
Support	A sled-dog team works hard on this snowy trail.	the man uses the sledge every day to train his dogs
Neutral	A sled-dog team works hard on this snowy trail.	the heavy snowfall created the perfect atmosphere of an adventure
Invalidate	a boy jumps.	The boy takes a nap in bed.
Support	a boy jumps.	The boy leaps as high as he can.
Neutral	a boy jumps.	Most kids enjoy jumping in the air.
Invalidate	A city street is shown with many people on both sides.	The city streets are blocked off so people can't be near it.
Support	A city street is shown with many people on both sides.	The city streets are very crowded because there is a parade.
Neutral	A city street is shown with many people on both sides.	The city is very dirty but lots of fun.
Invalidate	Three people sitting in front of a store on a bench.	They are going to bed
Support	Three people sitting in front of a store on a bench.	I see three people sat outside a store on a bench
Neutral	Three people sitting in front of a store on a bench.	I saw some people sat outside a store on a bench
Invalidate	A man flips barbecue chicken legs while another chef watches.	The man and chef close the restaurant and lock it.
Support	A man flips barbecue chicken legs while another chef watches.	While flipping
Neutral	A man flips barbecue chicken legs while another chef watches.	Cooking should always be done under the supervision of professional cook.
Invalidate	Two black and brown dogs are running through a field.	Two black and brown dogs take rest to the street.
Support	Two black and brown dogs are running through a field.	They are barking at one another in field
Neutral	Two black and brown dogs are running through a field.	Dogs generally don't let other area dogs enter into their area
Invalidate	A man rides a bicycle down a road with concrete barriers.	The man parks his bike in his garage.
Support	A man rides a bicycle down a road with concrete barriers.	The man loves riding his bike on roads in his neighborhood.
Neutral	A man rides a bicycle down a road with concrete barriers.	Biking is a great way to stay in shape.
Invalidate	A brown dog runs through the grass holding something in its mouth.	He drops what he was holding.
Support	A brown dog runs through the grass holding something in its mouth.	The dog seems to like to hold something in his mouth.
Neutral	A brown dog runs through the grass holding something in its mouth.	It's a dog's nature to enjoy carrying objects.
Invalidate	Two men talking to an older lady (one with a red hat and black shirt and the other with a brown jacket.	She thanked them for dropping her at home
Support	Two men talking to an older lady (one with a red hat and black shirt and the other with a brown jacket.	They are checking whether she remembers address
Neutral	Two men talking to an older lady (one with a red hat and black shirt and the other with a brown jacket.	Elderly suffer from dementia and wonder
Invalidate	A man wearing blue pants and a blue hat is standing on top of a mountain.	The man lays down in a building
Support	A man wearing blue pants and a blue hat is standing on top of a mountain.	The man hikes the mountain
Neutral	A man wearing blue pants and a blue hat is standing on top of a mountain.	The man enjoys the outdoors
Invalidate	The guy gets thrown out of the raft on the rapids.	The man dries off in himself.
Support	The guy gets thrown out of the raft on the rapids.	The man gets water all over himself as he falls in the water.
Neutral	The guy gets thrown out of the raft on the rapids.	Rafting is a fun thing to do in the summer.
Invalidate	This family is relaxing outside of their motorhome.	The family gets food at the restaurant.
Support	This family is relaxing outside of their motorhome.	The family sits outside the vehicle.
Neutral	This family is relaxing outside of their motorhome.	Some people enjoy having a motorhome.
Invalidate	A man in a blue jacket bikes down a forest path.	A man found bike used to down a forest path
Support	A man in a blue jacket bikes down a forest path.	blue jacket man bikes at forest path
Neutral	A man in a blue jacket bikes down a forest path.	I guess that blue jacket biker was in down forest path
Invalidate	There are many children having fun at a party.	The children return to their home very happily.
Support	There are many children having fun at a party.	The extempore events are getting good responses from the children.
Neutral	There are many children having fun at a party.	Now a days
Invalidate	A group of five men dressed in tan are in the middle of a very technical setting.	one of them left to go back home
Support	A group of five men dressed in tan are in the middle of a very technical setting.	the whole friends group is here
Neutral	A group of five men dressed in tan are in the middle of a very technical setting.	that was a perfect spot to meet up
Invalidate	Three young women in dresses play the violin on a stage.	The theater was empty after the show.
Support	Three young women in dresses play the violin on a stage.	The sound reminds me of my childhood
Neutral	Three young women in dresses play the violin on a stage.	it doesn't matter what you are seeing but your character
Invalidate	Two girls sit near a wall and watch a sporting event.	All players and audience have left the ground.
Support	Two girls sit near a wall and watch a sporting event.	Both the teams are playing so good and game is interesting and thrilling.
Neutral	Two girls sit near a wall and watch a sporting event.	What is your favorite sport to play?
Invalidate	A dog runs holding a yellow dog toy in fall, bench in the background.	The dog eats food out of his bowl.
Support	A dog runs holding a yellow dog toy in fall, bench in the background.	The dog sprints as fast as he can.
Neutral	A dog runs holding a yellow dog toy in fall, bench in the background.	Most dogs like to run outside.
Invalidate	A band is playing a guitar and singing in a recording studio.	A band plays the song in the award ceremony
Support	A band is playing a guitar and singing in a recording studio.	The part they are working on is very difficult
Neutral	A band is playing a guitar and singing in a recording studio.	Buddhist traditions are in play during the ceremony
Invalidate	Male teenager wearing red shirt, black and white shorts and white bandanna sitting on black railing.	The teenager
Support	Male teenager wearing red shirt, black and white shorts and white bandanna sitting on black railing.	The teenager is putting on some red shoes to match with his shirt.
Neutral	Male teenager wearing red shirt, black and white shorts and white bandanna sitting on black railing.	Teenagers are very fashionable these days and like to colour coordinate.
Invalidate	The goalie with the blue and white jersey is sliding near the goal posts.	he saved that ball and the game ended
Support	The goalie with the blue and white jersey is sliding near the goal posts.	he couldn't save te ball and the striker scored
Neutral	The goalie with the blue and white jersey is sliding near the goal posts.	many people went to the stadium to see the game
Invalidate	A white man wearing a ball cap and backpack is riding a bicycle while flipping the camera an obscene gesture.	someone is driving him home
Support	A white man wearing a ball cap and backpack is riding a bicycle while flipping the camera an obscene gesture.	a bike rider is finding it difficult to flip his camera
Neutral	A white man wearing a ball cap and backpack is riding a bicycle while flipping the camera an obscene gesture.	cycling is a common activity
Invalidate	4 men cleaning up animal droppings with brooms on an urban street during a parade.	the street is looking squeaky clean but the cleaners are completely tired out.
Support	4 men cleaning up animal droppings with brooms on an urban street during a parade.	some of droppings are smelling foul and the cleaners are trying to hold their breaths
Neutral	4 men cleaning up animal droppings with brooms on an urban street during a parade.	Animal parades are a lot of fun but cleaning after it is not  much fun at all!
Invalidate	A person playing drums while another person sings with a microphone in hand.	A band collects the instruments after a show.
Support	A person playing drums while another person sings with a microphone in hand.	Playing drums in a band like that is the dream of many young people.
Neutral	A person playing drums while another person sings with a microphone in hand.	Music can be inspiring for many people.
Invalidate	A produce market filled with shoppers.	a seller at a produce market packs up his products
Support	A produce market filled with shoppers.	when markets are crowded like this
Neutral	A produce market filled with shoppers.	public markets can be dangerous during a pandemic
Invalidate	a man sitting in front of a stage	the man wants to jump on but is stopped by a security guard
Support	a man sitting in front of a stage	the man waited for that moment the whole year
Neutral	a man sitting in front of a stage	many people was dancing along with the music played by the band
Invalidate	Many black dogs run in a grassy area.	The dogs rest in their respective dog houses.
Support	Many black dogs run in a grassy area.	The dogs sprint as fast as they can.
Neutral	Many black dogs run in a grassy area.	Most dogs like to run outside.
Invalidate	Two younger dogs biting a Frisbee playfully.	The dogs take a rest in their dog houses.
Support	Two younger dogs biting a Frisbee playfully.	The dogs try to grab the Frisbee from each other.
Neutral	Two younger dogs biting a Frisbee playfully.	Most dogs enjoy playing with a Frisbee.
Invalidate	Three people are sitting at an outdoor table in front of a coffee shop.	The friends are going home after a great get-together
Support	Three people are sitting at an outdoor table in front of a coffee shop.	The waitress serves them as they keep talking about their previous school years
Neutral	Three people are sitting at an outdoor table in front of a coffee shop.	Metting old friends is something very enjoyable
Invalidate	Person in goggles and black swim cap swimming	the person has rolled the towel around herself
Support	Person in goggles and black swim cap swimming	the person is a very skillful swimmer
Neutral	Person in goggles and black swim cap swimming	I like to swim using goggles
Invalidate	There is a man, wearing a funny hat, standing in front of a bank.	He is buying groceries at a nearby store.
Support	There is a man, wearing a funny hat, standing in front of a bank.	He wants to withdraw some money.
Neutral	There is a man, wearing a funny hat, standing in front of a bank.	Banks generally discourage customers from visiting branches.
Invalidate	Swimmers are playing an indoor game of water polo while several spectators watch.	They are going to reach home
Support	Swimmers are playing an indoor game of water polo while several spectators watch.	They are performing the aquatic sports and many of their supporters are seeing them from the landscape area.
Neutral	Swimmers are playing an indoor game of water polo while several spectators watch.	Performing the aquatic sports will help to refresh the mind and lead a peaceful life.
Invalidate	A classroom full of kids sitting at blue desks.	The kids eat food in the cafeteria.
Support	A classroom full of kids sitting at blue desks.	The kids relax while off their feet.
Neutral	A classroom full of kids sitting at blue desks.	Most kids do not like school.
Invalidate	A man and a woman about to eat.	A couple pays the bill.
Support	A man and a woman about to eat.	The couple is enjoying the aroma of their main course.
Neutral	A man and a woman about to eat.	The couple loves to eat out in the weekends.
Invalidate	A small dog runs with a brown ball in its mouth.	He drops the blue ball in front of his owner
Support	A small dog runs with a brown ball in its mouth.	The color of the ball reminds him of sticks
Neutral	A small dog runs with a brown ball in its mouth.	It is a sunny day at the dog park
Invalidate	Two children are playing in a green boat on the grass.	a kid is watching the tv
Support	Two children are playing in a green boat on the grass.	the green boat is filled up with sand and they're building sand's castles
Neutral	Two children are playing in a green boat on the grass.	the dog is barking to a stranger
Invalidate	Two dogs in a field looking at each other.	The dogs seem to have gotten along well with each other today.
Support	Two dogs in a field looking at each other.	The dogs are wagging their tails
Neutral	Two dogs in a field looking at each other.	It's great exercise for the dogs to run around in the fields every morning and keeps them healthy.
Invalidate	A street performer out on a street is singing with a microphone in his hand.	The performer goes inside
Support	A street performer out on a street is singing with a microphone in his hand.	The performer also plays the guitar
Neutral	A street performer out on a street is singing with a microphone in his hand.	There is a large crowd watching
Invalidate	A dog catches a tennis ball.	The dog has something wrong and cannot make any movement
Support	A dog catches a tennis ball.	With the energy of the animal he has attracted other four-legged friends to catch more balls
Neutral	A dog catches a tennis ball.	The dog is man's best friend and the English love to play with rackets
Invalidate	a young boy walking down the road of a busy street.	It took an hour for the young boy to reach the market.
Support	a young boy walking down the road of a busy street.	There are noises of honking vehicles all over.
Neutral	a young boy walking down the road of a busy street.	Traffic jams are common in crowded cities.
Invalidate	A group of people who look to be of all descents playing with some form of fireworks.	The group eats some food at a restaurant.
Support	A group of people who look to be of all descents playing with some form of fireworks.	The group lights everything all at once.
Neutral	A group of people who look to be of all descents playing with some form of fireworks.	Most people like viewing fire works.
Invalidate	A man in a green hard hat and yellow vest is looking down.	Police caught some punks with weapons there a few hours back and evacuated the entire area and surrounding buildings.
Support	A man in a green hard hat and yellow vest is looking down.	A young guy is playing some music on street and people are watching from there balconies.
Neutral	A man in a green hard hat and yellow vest is looking down.	People loves to gather in clubs more than their homes now a days.
Invalidate	Many people are walking along a street.	The people all head home to eat food.
Support	Many people are walking along a street.	The people are enjoying a nice day outside.
Neutral	Many people are walking along a street.	Most people enjoy walking as a form of exercise.
Invalidate	The two young boy are jumping.	The boys get some food in the kitchen.
Support	The two young boy are jumping.	The boys leap as high as they can.
Neutral	The two young boy are jumping.	Many boys love to jump in the air.
Invalidate	A child in a red shirt is sitting on his father's shoulders.	the child is taking a nap
Support	A child in a red shirt is sitting on his father's shoulders.	The kid is looking happy while he is up there
Neutral	A child in a red shirt is sitting on his father's shoulders.	Children enjoy very much the presence of their fathers
Invalidate	a man in a black shirt is rollerblading past a bench in the city.	he bumped into another man and fell on the ground
Support	a man in a black shirt is rollerblading past a bench in the city.	The man skates as fast as he can.
Neutral	a man in a black shirt is rollerblading past a bench in the city.	that park was full of peopl that enjoys that kind of activities
Invalidate	A person in a red jacket is crossing a snow covered bridge over the cold river in the forest.	A man try to set a fire with the help of wooden sticks to make his body to feel warm in the night.
Support	A person in a red jacket is crossing a snow covered bridge over the cold river in the forest.	Traffic jam is happend due you heavy snow in the bridge
Neutral	A person in a red jacket is crossing a snow covered bridge over the cold river in the forest.	It is always enjoyable walking  in bridge by seeing the beauty of the nature rather than walking in treadmill.
Invalidate	About a dozen people are standing on a beach, holding hands, and looking out over the water.	The people brush the sand off their shoes as they get into their cars.
Support	About a dozen people are standing on a beach, holding hands, and looking out over the water.	Some people swim on the sea
Neutral	About a dozen people are standing on a beach, holding hands, and looking out over the water.	The ocean is a beautiful place for a wedding.
Invalidate	Two girls in a pool, one catching a ball the other has thrown.	Two girls are fighting in the room
Support	Two girls in a pool, one catching a ball the other has thrown.	The laugh and splash while cooling down.
Neutral	Two girls in a pool, one catching a ball the other has thrown.	If you are not proficient at swimming you should wear a lifejacket.
Invalidate	Two boys are playing with a damaged soccer ball.	The boys get food from the kitchen.
Support	Two boys are playing with a damaged soccer ball.	Both boys try to keep possession of the ball.
Neutral	Two boys are playing with a damaged soccer ball.	Most people view soccer as a good form of exercise.
Invalidate	A woman with long brown hair points to a white dry erase board with scribbled markings on it.	The caretaker rubbed the white board hard to keep it clean.
Support	A woman with long brown hair points to a white dry erase board with scribbled markings on it.	The room is large and everyone watched it closely.
Neutral	A woman with long brown hair points to a white dry erase board with scribbled markings on it.	The day is cold and cloudy
Invalidate	A group of backpackers treks across a green hill with snowcapped mountains off in the distance.	The friends see snow everywhere as they arose to begin their hike
Support	A group of backpackers treks across a green hill with snowcapped mountains off in the distance.	The beauty of the mid-day sun on the peaks is awe-inspiring
Neutral	A group of backpackers treks across a green hill with snowcapped mountains off in the distance.	Hiking is great exercise
Invalidate	A toddler sits on a white rug and plays with a cup of flour.	The child is put in his crib for a nap.
Support	A toddler sits on a white rug and plays with a cup of flour.	The flour gets all over the kid's clothes.
Neutral	A toddler sits on a white rug and plays with a cup of flour.	Little kids will play with almost any household item.
Invalidate	A blond baby girl is mixing ingredients in a kitchen.	The girl plays with small toys
Support	A blond baby girl is mixing ingredients in a kitchen.	The happy little lady throw all the ingredients in the bowl
Neutral	A blond baby girl is mixing ingredients in a kitchen.	At this days
Invalidate	A cat lays on an old woman's shoulder.	a cat is playing outside
Support	A cat lays on an old woman's shoulder.	a woman has a cat on her shoulder
Neutral	A cat lays on an old woman's shoulder.	cats love to cuddle on thier owners
Invalidate	A man helps a boy steer a go-cart.	Actually
Support	A man helps a boy steer a go-cart.	The boy is very small and inexperienced. He doesnt know how to go about carts.
Neutral	A man helps a boy steer a go-cart.	The track is ragged
Invalidate	Several people are on the beach with boats and sails.	They are going to bed
Support	Several people are on the beach with boats and sails.	They are enjoying themselves by travelling in a small vessel on water in a seaside area.
Neutral	Several people are on the beach with boats and sails.	Travelling in a small vessel on water in a seaside area will help to refresh the mind.
Invalidate	A group of firefighters are walking down a street.	The street is clean and empty
Support	A group of firefighters are walking down a street.	It's a beautiful morning and people are starting their routines
Neutral	A group of firefighters are walking down a street.	It feels like a passive clear night
Invalidate	A little girl with blond-hair is outside playing with a small doll.	No one is outdoors right now.
Support	A little girl with blond-hair is outside playing with a small doll.	She is singing to her and making her dance along the grass.
Neutral	A little girl with blond-hair is outside playing with a small doll.	Fresh air is good for a growing child.
Invalidate	A man working at a fast food restaurant.	He is packing the excess food to take home
Support	A man working at a fast food restaurant.	He has been multi tasking as some of the employees are absent
Neutral	A man working at a fast food restaurant.	Fast food jobs are demanding and paid average
Invalidate	A group of rollerskaters follow the lead of a man wearing blue pants and a red shirt on a wood paneled floor.	They are all eating snacks
Support	A group of rollerskaters follow the lead of a man wearing blue pants and a red shirt on a wood paneled floor.	They are learning a new rollerskate routine
Neutral	A group of rollerskaters follow the lead of a man wearing blue pants and a red shirt on a wood paneled floor.	Rollerskates are a very good hobby
Invalidate	People digging up rocks and rubble.	They are going to have lunch
Support	People digging up rocks and rubble.	They are working on the urban development by breaking up a naturally formed hard mineral stone and worthless material.
Neutral	People digging up rocks and rubble.	The urban development by breaking up a naturally formed hard mineral stone and worthless material will help to serve the society.
Invalidate	Young people are walking around a public square on a warm day.	It is 10:00 pm right now.
Support	Young people are walking around a public square on a warm day.	It's summer time and the sun is shining.
Neutral	Young people are walking around a public square on a warm day.	The people are wearing blue shirts.
Invalidate	A man on a cellphone stands in front of a restaurant.	a heavy hailstorm falls taking people to inside the restaurant
Support	A man on a cellphone stands in front of a restaurant.	this restaurant model should have benches in the front
Neutral	A man on a cellphone stands in front of a restaurant.	many men like to stay in front of restaurants to talk on the cell phone
Invalidate	The girl in the purple active suit stretches upside down.	The girls rests in her bed.
Support	The girl in the purple active suit stretches upside down.	The girl tries to make sure her body is completely loose before exercising.
Neutral	The girl in the purple active suit stretches upside down.	Most people like to stretch before working out.
Invalidate	A boy dressed up as Winnie The Pooh playing with a kite.	the kite got stuck in a tree
Support	A boy dressed up as Winnie The Pooh playing with a kite.	His sister
Neutral	A boy dressed up as Winnie The Pooh playing with a kite.	there were other kids playing there
Invalidate	The crusaders are marching along the road.	there is no marching allowed any more.
Support	The crusaders are marching along the road.	the crusaders begin their protest on the streets.
Neutral	The crusaders are marching along the road.	they will not stop until their point is heard.
Invalidate	Two men, wearing warm clothing, are jumping beside a fence.	The men are heading home from a long day of work.
Support	Two men, wearing warm clothing, are jumping beside a fence.	The men are building the fence and jumping to try to stay warm.
Neutral	Two men, wearing warm clothing, are jumping beside a fence.	The men are on their way to work.
Invalidate	A man in black clothes is riding an ATV down a road.	The man eats food in a restaurant.
Support	A man in black clothes is riding an ATV down a road.	The man tries to go as fast as possible.
Neutral	A man in black clothes is riding an ATV down a road.	Most people view ATV riding as dangerous.
Invalidate	These agile young people have climbed behind the bleachers to watch the action.	The game is over and the team lost.
Support	These agile young people have climbed behind the bleachers to watch the action.	It's an intense match up on the field.
Neutral	These agile young people have climbed behind the bleachers to watch the action.	No one wants to pay for game tickets these days
Invalidate	Several people paying attention to a lecture.	people start discussion after attending lectures.
Support	Several people paying attention to a lecture.	To understand the main facts it is necessary to attend the lecture.
Neutral	Several people paying attention to a lecture.	These days people find interesting to attend online lectures.
Invalidate	Group of businessmen sitting around a table with their laptops.	the meeting is over and they are wolking out
Support	Group of businessmen sitting around a table with their laptops.	their focus is on the nex budget sheet
Neutral	Group of businessmen sitting around a table with their laptops.	in a company so large
Invalidate	A group of cyclist begin their race across a bridge.	The group of cyclists have almost finished the race
Support	A group of cyclist begin their race across a bridge.	The bike has been handling well during the early event
Neutral	A group of cyclist begin their race across a bridge.	The bridge is very tight with riders.
Invalidate	Young male child in a grocery cart with food items.	the boy is taken out from the mother because she has to return the cart
Support	Young male child in a grocery cart with food items.	the boy is watching the mother buying food for the family
Neutral	Young male child in a grocery cart with food items.	Tomatoes are sold at half the price
Invalidate	A small dog plays with a very big limb.	the dog is called by it's owner because they have to go
Support	A small dog plays with a very big limb.	the do enjos the time at the dog park
Neutral	A small dog plays with a very big limb.	many people went there with their dogs
Invalidate	A tri-colored dog is jumping over obstacles.	The Pet animal is going to have food in the afternoon.
Support	A tri-colored dog is jumping over obstacles.	The Pet animal is taking various kinds of practice to participate in a competition.
Neutral	A tri-colored dog is jumping over obstacles.	Encouraging the pet animals to engage in a sport based activities will help them to be more active and mindfulness.
Invalidate	A young boy is sitting on the floor trying to take off his boots.	He is going to bed
Support	A young boy is sitting on the floor trying to take off his boots.	Boots is very tight so difficult to remove the boots
Neutral	A young boy is sitting on the floor trying to take off his boots.	Wearing the boots is safe to a boy
Invalidate	2 children bouncing up and down on a trampoline.	The two kids get food in the kitchen.
