gold_label	sentence1	sentence2
Support	A young girl doing a back flip in the water.	she enjoues the sea
Neutral	A young girl doing a back flip in the water.	many people went there in order to spend some time at the beach
Invalidate	The bands guitarist begins his solo on stage.	Unfortunately
Support	The bands guitarist begins his solo on stage.	After Slash
Neutral	The bands guitarist begins his solo on stage.	The crowd felt down on earth with that show
Invalidate	Sweaty drummer in a Celtics jersey playing the drums.	the drummer is storing his instrument in the van
Support	Sweaty drummer in a Celtics jersey playing the drums.	the audience is loving the drummer's excitement
Neutral	Sweaty drummer in a Celtics jersey playing the drums.	being a drummer must be quite tiring
Invalidate	A man in a black vest, white shirt and black pants stands in a sunny alley.	the man is told to go away because a truck is passing
Support	A man in a black vest, white shirt and black pants stands in a sunny alley.	that particular alley is a meeting spot for his frineds
Neutral	A man in a black vest, white shirt and black pants stands in a sunny alley.	the sun was up and many people was around walking
Invalidate	A man sets off a large sparkler while the crown watches on.	While fireworks are finally over
Support	A man sets off a large sparkler while the crown watches on.	Watching the sparkler be lit
Neutral	A man sets off a large sparkler while the crown watches on.	The sparkler ignites when the man bends down and lites it.
Invalidate	Two toddlers on the floor playing a game with cards and a board	The two toddlers are going to sleep
Support	Two toddlers on the floor playing a game with cards and a board	the kids are making a lot of noise.
Neutral	Two toddlers on the floor playing a game with cards and a board	kids like to play with each other with many toys.
Invalidate	The large brown dog is jumping into a swimming pool.	they have cleaned the pool at the end of the day
Support	The large brown dog is jumping into a swimming pool.	The dog are enjoying to perform jumping
Neutral	The large brown dog is jumping into a swimming pool.	Pets should not be allowed inside the swimming pool area
Invalidate	Two working men take a water break.	They are taken to lunch.
Support	Two working men take a water break.	They are drinking tea and coffee as well
Neutral	Two working men take a water break.	They are sleeping to the home
Invalidate	A band is playing for a crowd.	The cars that the members are in are crossing a bridge
Support	A band is playing for a crowd.	it's the band's first concert abroad
Neutral	A band is playing for a crowd.	Sundays are for the family and church
Invalidate	Brown dog laying on gravel with grass and trees in background.	The dog eats food out of his dish.
Support	Brown dog laying on gravel with grass and trees in background.	The dog enjoys relaxing in the yard.
Neutral	Brown dog laying on gravel with grass and trees in background.	Most dogs enjoy spending time outside.
Invalidate	A man in a white tank shirt holds a laptop while sitting next to a white column with a statue on top of it.	The device is charging in a coffee shop while the owner enjoys a pastry.
Support	A man in a white tank shirt holds a laptop while sitting next to a white column with a statue on top of it.	He is blogging about landmarks in his village.
Neutral	A man in a white tank shirt holds a laptop while sitting next to a white column with a statue on top of it.	The blog helps people around the world learn more about his country.
Invalidate	Two people are hang gliding.	the hang gliders have landed
Support	Two people are hang gliding.	The people are screaming while they fly
Neutral	Two people are hang gliding.	Hang gliding can be a dangerous sport without proper instruction
Invalidate	A man descends a snowy mountain.	The man gets some food in the lodge.
Support	A man descends a snowy mountain.	The man goes down as fast as he can.
Neutral	A man descends a snowy mountain.	Most people like to play in the snow.
Invalidate	The man climbs through the rocks and snow.	he loses his breath because of the view at the top
Support	The man climbs through the rocks and snow.	he swets and has trouble breathing
Neutral	The man climbs through the rocks and snow.	the mountans are a wanderful place to climb
Invalidate	Rock Band star Matt Doneley rests on a microphone after a long loud concert on Monday held at the Athens center in Las Vegas, Nevada during the April event.	it was his last concert of the year
Support	Rock Band star Matt Doneley rests on a microphone after a long loud concert on Monday held at the Athens center in Las Vegas, Nevada during the April event.	it has been the best concert of the year
Neutral	Rock Band star Matt Doneley rests on a microphone after a long loud concert on Monday held at the Athens center in Las Vegas, Nevada during the April event.	the crown is asking for an extra song from the band
Invalidate	Girl running through the water near the shore.	She pulls her clothes off to swim in the sea
Support	Girl running through the water near the shore.	Probably she is competing for the local marathon at the beach
Neutral	Girl running through the water near the shore.	Photographers were taking photos of the fastest woman
Invalidate	The man on the bicycle is doing a stunt through the air.	The guy is taken to the hospital.
Support	The man on the bicycle is doing a stunt through the air.	The man waves his hands while doing the stunt.
Neutral	The man on the bicycle is doing a stunt through the air.	Performing stunts in the air needs a lot of practice.
Invalidate	A woman wearing rolled up jeans and a black shirt is walking past a bus carrying a shopping bag.	The woman prepared the lunch at home.
Support	A woman wearing rolled up jeans and a black shirt is walking past a bus carrying a shopping bag.	So she wouldn't have to pay extra for a bag
Neutral	A woman wearing rolled up jeans and a black shirt is walking past a bus carrying a shopping bag.	The city is busy this afternoon after the lockdown ended
Invalidate	a woman wearing a pink cap riding a bicycle	The woman parks her bicycle in the garage.
Support	a woman wearing a pink cap riding a bicycle	The woman cruises on her bicycle through the park.
Neutral	a woman wearing a pink cap riding a bicycle	Bicycling is a great hobby for exercise.
Invalidate	A black dog and a brown dog with a stick in his mouth are running in the field.	The dogs rest in their respective dog houses.
Support	A black dog and a brown dog with a stick in his mouth are running in the field.	The dogs sprint as fast as they can.
Neutral	A black dog and a brown dog with a stick in his mouth are running in the field.	Most dogs enjoy playing with sticks.
Invalidate	Someone is surfing a giant wave.	The person has stuck his surfboard in the sand
Support	Someone is surfing a giant wave.	The giant wave is looking very challenging to surf
Neutral	Someone is surfing a giant wave.	Surfing large waves is a challenge feat
Invalidate	A black dog is playing with a blue doll on a white carpet.	The black dog went along with his owner for walking
Support	A black dog is playing with a blue doll on a white carpet.	The dog makes the white carpet ugly
Neutral	A black dog is playing with a blue doll on a white carpet.	At these days the dog are behaving like kids playing with doll
Invalidate	A man attempts to push another who is carrying a ball.	The man leaves the area to go home.
Support	A man attempts to push another who is carrying a ball.	The man carrying the ball attenpting to push back to keep the other man away.
Neutral	A man attempts to push another who is carrying a ball.	People who like to bully others unfortunately is a common thing.
Invalidate	A child in a red shirt and hat enjoys a tire-shaped swing at the playground.	aftr playing with him i buy him an ice creem
Support	A child in a red shirt and hat enjoys a tire-shaped swing at the playground.	i am going to push him the child so it can be more fun for him
Neutral	A child in a red shirt and hat enjoys a tire-shaped swing at the playground.	It's good to take care of our children's mental health by taking them to a safe and isolate playground
Invalidate	Two men stand on the side of a street across from a building.	Both men are having lunch in restaurant behind college.
Support	Two men stand on the side of a street across from a building.	There are a few men on street.
Neutral	Two men stand on the side of a street across from a building.	People love to walk in park early morning.
Invalidate	Couple kissing outside on street.	It is late night and street is empty.
Support	Couple kissing outside on street.	The couple outside on street is so romantic.
Neutral	Couple kissing outside on street.	There are very few people outside.
Invalidate	Two male UFC fighters are boxing against each other in a ring.	A man with injuries goes to the infirmary.
Support	Two male UFC fighters are boxing against each other in a ring.	The boxing men can end up very badly injured.
Neutral	Two male UFC fighters are boxing against each other in a ring.	Fight sports require great physical preparation.
Invalidate	A group of people having a meeting.	They all taking the elevator down.
Support	A group of people having a meeting.	everyone shares idea to be ready to complete the task.
Neutral	A group of people having a meeting.	Everyone sat around the table listening to the meeting.
Invalidate	a man wearing a blue shirt smoking a cigarette in front of a building	There is no one visible on the street.
Support	a man wearing a blue shirt smoking a cigarette in front of a building	He exhales and contemplates quitting the habit once and for all.
Neutral	a man wearing a blue shirt smoking a cigarette in front of a building	Smoking has been proven to be bad for your health.
Invalidate	A young man sits in the entrance to a very small building.	The man moves when someone wants to enter the building.
Support	A young man sits in the entrance to a very small building.	The young man taps his phone screen as he sits in front of the door.
Neutral	A young man sits in the entrance to a very small building.	The door leads to an insurance office.
Invalidate	A boy in red shorts rides a yellow bodyboard on a breaking wave.	he had to go out of the water because his father called him
Support	A boy in red shorts rides a yellow bodyboard on a breaking wave.	many kids are there surfing
Neutral	A boy in red shorts rides a yellow bodyboard on a breaking wave.	the beach was crowded that day
Invalidate	A person laying down on a bench with a blue shirt on.	It starts to rain hard and he runs for shelter.
Support	A person laying down on a bench with a blue shirt on.	That's a fellow that knows how to rest.
Neutral	A person laying down on a bench with a blue shirt on.	The day is beautiful
Invalidate	Older man in woods with plants.	The man gets some food at a restaurant.
Support	Older man in woods with plants.	The man enjoys looking at the foliage.
Neutral	Older man in woods with plants.	Most people enjoy hanging out in the woods.
Invalidate	Chess games between a group of men.	The contestants are taking refreshments during a break
Support	Chess games between a group of men.	The match is very interesting as both the players are playing with strong moves
Neutral	Chess games between a group of men.	The mind based sports help to maintain brain health and give more cognitive strength
Invalidate	a soccer team poses for a picture.	Athletes are warming up and getting ready for the game
Support	a soccer team poses for a picture.	Group photos are welcome before the match kicks off
Neutral	a soccer team poses for a picture.	It seems each time the get to the field a picture has to be taken
Invalidate	A child runs through the ocean in silly clothes.	The child takes a shower at his house.
Support	A child runs through the ocean in silly clothes.	The child enjoys the water splashing in his face.
Neutral	A child runs through the ocean in silly clothes.	Most people enjoy going to the ocean in the summer.
Invalidate	A man carrying bags on his shoulders looks behind him as he crosses the street.	He put the bags down to stretch his shoulders
Support	A man carrying bags on his shoulders looks behind him as he crosses the street.	it is gratifying to see the bags I sold being used
Neutral	A man carrying bags on his shoulders looks behind him as he crosses the street.	Nowadays many people cross the street distractedly
Invalidate	A group of asian boys standing in front of a large mountain with there backs towards the camera.	They are going to have lunch
Support	A group of asian boys standing in front of a large mountain with there backs towards the camera.	They are taking photographs of them when staying directly before a natural elevation of the earth's surface.
Neutral	A group of asian boys standing in front of a large mountain with there backs towards the camera.	Taking photographs directly before a natural elevation of the earth's surface will be a nostlagic whenever sees them in future.
Invalidate	Two policemen are riding bikes on the street.	Their shift is over for the day.
Support	Two policemen are riding bikes on the street.	Policemen are chasing a thief.
Neutral	Two policemen are riding bikes on the street.	Policemen have rights of riding bikes on the streets.
Invalidate	A man talks to a woman wearing a backpack.	They have parted ways earlier in the day to run errands
Support	A man talks to a woman wearing a backpack.	She has just gotten back from a hike and is telling him all about it
Neutral	A man talks to a woman wearing a backpack.	The park was nice and it was lovely to be outsie
Invalidate	A woman in a bikini is laying on a blanket on a dock over the water.	The storm has scared everyone inside.
Support	A woman in a bikini is laying on a blanket on a dock over the water.	She applies sun tan lotion expertly.
Neutral	A woman in a bikini is laying on a blanket on a dock over the water.	You should always wear your sunscreen
Invalidate	A man in a white cowboy hat reclines in front of a window in an airport.	The man removes his hat as he takes his seat on the plane.
Support	A man in a white cowboy hat reclines in front of a window in an airport.	The man looks out of the window at the planes parked next to the terminal.
Neutral	A man in a white cowboy hat reclines in front of a window in an airport.	The man thinks about how boring it is to wait at the airport.
Invalidate	A woman in a bikini is talking to a regularly dressed man on a bridge	the woman leaves because her friends started calling her
Support	A woman in a bikini is talking to a regularly dressed man on a bridge	the man is about to get changed in order to have a good day at the beach
Neutral	A woman in a bikini is talking to a regularly dressed man on a bridge	many people decided to go to that spot in order to enjoy the sun and the sea
Invalidate	a man and a woman are about to kiss	The man thinks about his evening while taking a bath.
Support	a man and a woman are about to kiss	Both people put a chopstick for the locking of lips.
Neutral	a man and a woman are about to kiss	Kissing is one way that people show affection.
Invalidate	Girl running through the water near the shore.	The girl gets some food at the snack bar.
Support	Girl running through the water near the shore.	The girl splashes water everywhere.
Neutral	Girl running through the water near the shore.	Most children enjoy playing outside and getting wet.
Invalidate	A woman is checking her phone while walking across a store.	She browses the shopping mall at noon while face timing her best friend.
Support	A woman is checking her phone while walking across a store.	The lady checks her messages.
Neutral	A woman is checking her phone while walking across a store.	She's on her cell phone.
Invalidate	A woman in a black leather jacket raises her arms as she sings into a microphone.	After the concert
Support	A woman in a black leather jacket raises her arms as she sings into a microphone.	I enjoy their music
Neutral	A woman in a black leather jacket raises her arms as she sings into a microphone.	I woke up with a hangover
Invalidate	People are in a crowd, one female is looking at a phone.	no one saw that the girl's phone fell on the ground
Support	People are in a crowd, one female is looking at a phone.	the woman is calling her boyfriend
Neutral	People are in a crowd, one female is looking at a phone.	eveyone was there to meet eachother
Invalidate	An old Asian man walks with a filled bag down the sidewalk.	an old asian man is at home preparing lunch
Support	An old Asian man walks with a filled bag down the sidewalk.	an old asian man is having difficulty walking carrying that heavy bag down the sidewalk
Neutral	An old Asian man walks with a filled bag down the sidewalk.	Asian men usually walk on the sidewalk in the morning carrying heavy bags
Invalidate	People stand and watch from the grassy hill as an airplane soars close overhead.	the plane flew away very quickly
Support	People stand and watch from the grassy hill as an airplane soars close overhead.	this is the national parade
Neutral	People stand and watch from the grassy hill as an airplane soars close overhead.	the kid nearby had a red hat
Invalidate	Five girls are leaping simultaneously in a dance practice room.	Few girls are going to reach their home
Support	Five girls are leaping simultaneously in a dance practice room.	Today
Neutral	Five girls are leaping simultaneously in a dance practice room.	Doing a lot of new steps will attract many audience and increase fanbase.
Invalidate	A crowd of people standing around.	They are going to bed
Support	A crowd of people standing around.	They are staying near a stadium to go inside and watch the sport.
Neutral	A crowd of people standing around.	Togetherness in doing something will be always fun and more enjoyable.
Invalidate	A young female firefighter stands in front of a crowd.	Police have asked the people to move away from the fire.
Support	A young female firefighter stands in front of a crowd.	She is adjusting her fireproof jacket.
Neutral	A young female firefighter stands in front of a crowd.	There is a lot of movement around: police
Invalidate	A young boy sleeps in his car seat.	A boy is crying in the car.
Support	A young boy sleeps in his car seat.	Boy gets sleep in the car.
Neutral	A young boy sleeps in his car seat.	Young boys sleep very quickly.
Invalidate	A marching band line stands and waits in full uniform.	The children of the band members are hugging their parents and congratulating them on the good performances.
Support	A marching band line stands and waits in full uniform.	The people waiting expectantly for the band to start marching.
Neutral	A marching band line stands and waits in full uniform.	Bands usually have smart uniforms with specified colours to distinguish themselves form other groups.
Invalidate	A black-and-white dog carries a stick in his mouth as he swims in the clear water.	The dog is sleeping under the tree
Support	A black-and-white dog carries a stick in his mouth as he swims in the clear water.	a black and white dog is wet
Neutral	A black-and-white dog carries a stick in his mouth as he swims in the clear water.	dogs are capable of swimming
Invalidate	A man wearing black is sitting by a lamp post smoking a cigarette.	the cigarette is now on the floor
Support	A man wearing black is sitting by a lamp post smoking a cigarette.	the smoke from the cigarette is very strong
Neutral	A man wearing black is sitting by a lamp post smoking a cigarette.	smoking cigarette is very bad for overall health
Invalidate	Woman describing software to a customer at a convention.	The woman goes to eat at a restaurant.
Support	Woman describing software to a customer at a convention.	The woman tries hard to explain the technology.
Neutral	Woman describing software to a customer at a convention.	Most people use software at work.
Invalidate	Two children are looking at something exciting that an adult is showing them.	one of the children has to go away because he is called from his father
Support	Two children are looking at something exciting that an adult is showing them.	the man is showing his magic tricks to the kids
Neutral	Two children are looking at something exciting that an adult is showing them.	that man was a very good magician and was hired for the party
Invalidate	Five girls are leaping simultaneously in a dance practice room.	The girls are taking a rest between practice sessions
Support	Five girls are leaping simultaneously in a dance practice room.	The girls are dancing beautifully
Neutral	Five girls are leaping simultaneously in a dance practice room.	Girls love to dance more than boys do
Invalidate	A man skateboards in a warehouse.	The man goes to eat at a restaurant.
Support	A man skateboards in a warehouse.	The man rides his board as fast as he can.
Neutral	A man skateboards in a warehouse.	Most people see skateboarding as fun
Invalidate	A dog in a grassy field, looking up.	The dog eats in the yard with grand ma.
Support	A dog in a grassy field, looking up.	The pet having great time outside
Neutral	A dog in a grassy field, looking up.	The animal in the compound enjoying the environment.
Invalidate	A barefoot jogger in a park.	He stepped on sharp rocks and tore the soles of his feet
Support	A barefoot jogger in a park.	It reminds him of those African sprinters who cover dozens of kilometers without shoes every day to go to school or work
Neutral	A barefoot jogger in a park.	Athletes put a kind of cream on their feet to avoid burns
Invalidate	A sled-dog team works hard on this snowy trail.	The dogs sit and eat in a circle.
Support	A sled-dog team works hard on this snowy trail.	The dogs run as hard as they can.
Neutral	A sled-dog team works hard on this snowy trail.	Most sled dogs enjoy the snow.
Invalidate	A young man sits on a cliff, watching the ocean.	The man drives back to his house.
Support	A young man sits on a cliff, watching the ocean.	The crashing waves and rock structures are calming for the man.
Neutral	A young man sits on a cliff, watching the ocean.	Cliffs are very dangerous
Invalidate	Two hockey players compete on the ice.	All people are leaving the competition
Support	Two hockey players compete on the ice.	Players are doing very good in field
Neutral	Two hockey players compete on the ice.	Many players waiting to participating the competition
Invalidate	Eight men play instruments on stage, with a guitarist highlighted in lights.	The old  man  went to bed  without having his  dinner.
Support	Eight men play instruments on stage, with a guitarist highlighted in lights.	A melodious song is played in rhythm to the musical instruments.
Neutral	Eight men play instruments on stage, with a guitarist highlighted in lights.	There is no language for music .
Invalidate	A young girl hops on the path to avoid the puddles, located near a lake.	She sighed with relief as it would be much easier to keep her sneakers dry now.
Support	A young girl hops on the path to avoid the puddles, located near a lake.	She is careful about water not spilling on her clothes while jumping
Neutral	A young girl hops on the path to avoid the puddles, located near a lake.	Crossing over puddles for young children is difficult and fun
Invalidate	Girl with innertube in water	She has just showered up for bed.
Support	Girl with innertube in water	She seems to love playing in the water.
Neutral	Girl with innertube in water	it's time for her ship to dock until tomorrow when she can imagine up another world.
Invalidate	Two people are walking through some water.	Two people are riding a bike
Support	Two people are walking through some water.	Two people are wearing rain boots to pass through water
Neutral	Two people are walking through some water.	people like walking and enjoying nature
Invalidate	An older man is sitting at his desk, which is in front of a shop, reading cards.	in the night the men sleep early because he feel so tired.
Support	An older man is sitting at his desk, which is in front of a shop, reading cards.	the old men take a pencil and he start choose the numbers from the card.
Neutral	An older man is sitting at his desk, which is in front of a shop, reading cards.	old men's stay a long time outside and they have fun
Invalidate	A brown dog runs through the grass holding something in its mouth.	The dog eats food out of his bowl.
Support	A brown dog runs through the grass holding something in its mouth.	The dog sprints as fast as he can.
Neutral	A brown dog runs through the grass holding something in its mouth.	Most dogs like to run outside.
Invalidate	Side view of a cyclist in racing outfit on a country road.	he won the road contest and was awarded a medal.
Support	Side view of a cyclist in racing outfit on a country road.	he really is riding fast since other contestants seem to be far away from him.
Neutral	Side view of a cyclist in racing outfit on a country road.	I wonder how often bike races are held in our city.
Invalidate	Kid in hoodie jumps a ramp.	The kid in the hoodie is tired of jumping a ramp.
Support	Kid in hoodie jumps a ramp.	The kid in the hoodie is jumping that ramp.
Neutral	Kid in hoodie jumps a ramp.	A kid jumped that ramp.
Invalidate	A watercraft speeds through the water.	The boats engine is broken and the boat will not restart.
Support	A watercraft speeds through the water.	There is a giant "V" of ocean wake left in the water.
Neutral	A watercraft speeds through the water.	People love watching extreme sports.
Invalidate	An old Asian man walks with a filled bag down the sidewalk.	The Asian man takes a nap at home.
Support	An old Asian man walks with a filled bag down the sidewalk.	Carrying the bag allows the Asian man to get good exercise while walking.
Neutral	An old Asian man walks with a filled bag down the sidewalk.	Carrying items while walking can be a form of exercise.
