gold_label	sentence1	sentence2
Invalidate	A female runner running alone near a mountain.	She is talking to her mother in the kitchen
Support	A female runner running alone near a mountain.	She is thinking of climbing up that mountain
Neutral	A female runner running alone near a mountain.	It is a very good exercise to run outdoors
Invalidate	A group of men, women and one child are walking in a group.	The child is sleeping whilst the grown ups are playing cards.
Support	A group of men, women and one child are walking in a group.	The child is feeling happy being the centre of attention.
Neutral	A group of men, women and one child are walking in a group.	Adults and children go out for walks together in the summer.
Invalidate	A dog rolls in the grass.	A dog is barking at the strangers.
Support	A dog rolls in the grass.	A dog is resting on the grassy field.
Neutral	A dog rolls in the grass.	Dogs are very sensitive animals.
Invalidate	Two women with cowboy hats and shopping bags walk together down a crowded public street.	Two women are eating burger at street food shop.
Support	Two women with cowboy hats and shopping bags walk together down a crowded public street.	They are roaming in the market to buy some stuffs.
Neutral	Two women with cowboy hats and shopping bags walk together down a crowded public street.	Most of the people by their essential things from the local market.
Invalidate	The kids play in the wooded area near the water.	The kids are eating chicken burgers for dinner.
Support	The kids play in the wooded area near the water.	Their parents are nearby the wooded area.
Neutral	The kids play in the wooded area near the water.	Kids love to play together.
Invalidate	Two glassblowers are crafting a bottle in a glass blowing studio.	They got ready to sell.
Support	Two glassblowers are crafting a bottle in a glass blowing studio.	the glassblowers are using a lot of vibrant colors.
Neutral	Two glassblowers are crafting a bottle in a glass blowing studio.	Their creation is marvelous and a sight to see.
Invalidate	A little girl yelling with people sitting on the floor behind and a cat walking through.	A little girl sits down for a meal.
Support	A little girl yelling with people sitting on the floor behind and a cat walking through.	A little girl yells about cats.
Neutral	A little girl yelling with people sitting on the floor behind and a cat walking through.	The cat wants to be petted.
Invalidate	People are using the far left of three escalators, which are enclosed inside an elongated tunnel.	There are escalators everywhere
Support	People are using the far left of three escalators, which are enclosed inside an elongated tunnel.	They are utilizing the moving stairway which is located at a great distance in the south and locked in the extended subway.
Neutral	People are using the far left of three escalators, which are enclosed inside an elongated tunnel.	They are going to have lunch
Invalidate	A street stall is perused by patrons	Patrons go home.
Support	A street stall is perused by patrons	Patrons is perusing a street stall.
Neutral	A street stall is perused by patrons	Patrons is are good ways to help other in financial help.
Invalidate	Two men wearing gray tank tops and khaki shorts are standing on scaffolding outside of a brick building.	Two man wearing  tops and shorts going somewhere from the scaffolding of building.
Support	Two men wearing gray tank tops and khaki shorts are standing on scaffolding outside of a brick building.	Two men wearing  tops and short shirts wait at the scaffolding of a building
Neutral	Two men wearing gray tank tops and khaki shorts are standing on scaffolding outside of a brick building.	Men like to wear tops and shirts now a days
Invalidate	An older man carries the Olympic Torch for the London 2012 Olympics past a group of spectators.	The Australian gymnast won the gold medal in London.
Support	An older man carries the Olympic Torch for the London 2012 Olympics past a group of spectators.	The crowd cheers as the man goes by.
Neutral	An older man carries the Olympic Torch for the London 2012 Olympics past a group of spectators.	The Olympic torch lighting is a very special ceremony.
Invalidate	A person swims in a body of water with a waterfall.	The person removes his swimsuit and is wearing his casual dress.
Support	A person swims in a body of water with a waterfall.	This person is using different types of swimming styles.
Neutral	A person swims in a body of water with a waterfall.	Swimming near the waterfall is difficult than swimming in the river.
Invalidate	A group of people stand in front of an establishment called The Deep End.	The group drives home in their respective cars.
Support	A group of people stand in front of an establishment called The Deep End.	The group waits to get in.
Neutral	A group of people stand in front of an establishment called The Deep End.	Most people like to visit establishments.
Invalidate	A boy on a BMX bike	A boy sleeps in his bed.
Support	A boy on a BMX bike	His tire strikes a nail and deflates.
Neutral	A boy on a BMX bike	People like to ride their bikes on Sundays.
Invalidate	A person wearing a white tank top is holding a microphone.	The singer is walking across the street.
Support	A person wearing a white tank top is holding a microphone.	the female in white singing a song.
Neutral	A person wearing a white tank top is holding a microphone.	she sang beautiful songs.
Invalidate	A group of women dressed in white are dancing in the street.	The women head home in a car.
Support	A group of women dressed in white are dancing in the street.	The women dance to their favorite songs.
Neutral	A group of women dressed in white are dancing in the street.	Dancing is a fun hobby for some.
Invalidate	A woman wearing an apron inspects a large pot on a table filled with cups, bowls, pots and baskets of assorted size.	She is cleaning the toilet.
Support	A woman wearing an apron inspects a large pot on a table filled with cups, bowls, pots and baskets of assorted size.	She takes one item out of it
Neutral	A woman wearing an apron inspects a large pot on a table filled with cups, bowls, pots and baskets of assorted size.	Today was probably the coldest day of the year
Invalidate	A brown dog and a tan dog run on a beach.	Both dogs are swimming in the sea
Support	A brown dog and a tan dog run on a beach.	Dogs are really enjoying themselves while they run
Neutral	A brown dog and a tan dog run on a beach.	Dogs really love to play with eachother
Invalidate	A slender man holds a squirming child on a city street.	The man lays the child in his bed.
Support	A slender man holds a squirming child on a city street.	The man struggles because the child is heavy.
Neutral	A slender man holds a squirming child on a city street.	Many men love raising their children.
Invalidate	There are many people in this park.	the people went home becuse it started raining
Support	There are many people in this park.	every day many people meet at the park to play
Neutral	There are many people in this park.	the park is very big and many people enjoy walking into the woods
Invalidate	A young girl doing a back flip in the water.	A young girl walk to the street.
Support	A young girl doing a back flip in the water.	A young girl seems to like to  the swim.
Neutral	A young girl doing a back flip in the water.	A young girl affect for cold.
Invalidate	A small child with curly hair is being held by an adult.	child is playing nearby a bench.
Support	A small child with curly hair is being held by an adult.	An adult kisses her child on her cheeks.
Neutral	A small child with curly hair is being held by an adult.	every adult loves his child so much.
Invalidate	An Asian man is carrying a green flag whilst leading a carnival dragon in a parade.	The cleanup operation is under way to restore the streets to their normal state.
Support	An Asian man is carrying a green flag whilst leading a carnival dragon in a parade.	The trumpets sound to the march of the flag bearers.
Neutral	An Asian man is carrying a green flag whilst leading a carnival dragon in a parade.	The man is a member of the carnival club who meet twice a week to rehearse.
Invalidate	A terrier chasing a red ball.	The dog eats food out of his dog bowl.
Support	A terrier chasing a red ball.	The owner takes the terrier on morning walk daily
Neutral	A terrier chasing a red ball.	I saw this on television
Invalidate	A lady in swimwear playing volleyball at the beach.	a lady on swimwear is swimming at the beach
Support	A lady in swimwear playing volleyball at the beach.	the lady is swim wear enjoys playing volleyball
Neutral	A lady in swimwear playing volleyball at the beach.	people wear swimwears at the beach when playing football
Invalidate	A toddler girl swings in a yellow child's swing.	The girl gets some food in the kitchen.
Support	A toddler girl swings in a yellow child's swing.	The girl enjoys flying back and forth.
Neutral	A toddler girl swings in a yellow child's swing.	Most toddlers enjoy swinging in swings.
Invalidate	An average man washes the windows of a building.	He has put back glass cleaning squeezer into store
Support	An average man washes the windows of a building.	He is balancing himself on ladder not to trip
Neutral	An average man washes the windows of a building.	He observed windows about their cleanliness
Invalidate	A large ship approaching the dock with two men awaiting its arrival.	They boarded the ship after its arrival.
Support	A large ship approaching the dock with two men awaiting its arrival.	The ship is slowing down as it is reaching the dock.
Neutral	A large ship approaching the dock with two men awaiting its arrival.	The men are interested to have a voyage in ship.
Invalidate	A person with a red hood on with his head in his hand sitting on a bench.	Park curfew ends in the afternoon
Support	A person with a red hood on with his head in his hand sitting on a bench.	Park rangers generally do not bother enforcing curfew for crying adult men
Neutral	A person with a red hood on with his head in his hand sitting on a bench.	The bench was made of mahogany
Invalidate	Four middle-aged men stand behind a fence in the midst of a forest.	They enjoy their dinner in the kitchen.
Support	Four middle-aged men stand behind a fence in the midst of a forest.	They sip their beers as they look across the house's gate into the thick woods.
Neutral	Four middle-aged men stand behind a fence in the midst of a forest.	Barriers and structures in the forest may need to be transported in in novel ways.
Invalidate	A white British Airways plane on the airstrip.	The plane take off from the airstrip.
Support	A white British Airways plane on the airstrip.	A British  planeland on this airstrip.
Neutral	A white British Airways plane on the airstrip.	Airways can land and take off from airstrip easily.
Invalidate	Two little girls share a coloring book and crayons while sitting together at the table.	The girls get a snack out of the kitchen.
Support	Two little girls share a coloring book and crayons while sitting together at the table.	The girls try to color the same picture.
Neutral	Two little girls share a coloring book and crayons while sitting together at the table.	Most girls like to do coloring books.
Invalidate	Many people stand in front of a stone building with an intricate round window.	The people laugh together as they sit in the restaurant enjoying their lunch.
Support	Many people stand in front of a stone building with an intricate round window.	The people are enjoying their tour of the ancient city.
Neutral	Many people stand in front of a stone building with an intricate round window.	The stone building has been around for centuries.
Invalidate	A young girl in a white shirt and green skirt looking at books.	She changes into a black shirt and an orange skirt.
Support	A young girl in a white shirt and green skirt looking at books.	She is in a bookshop wandering around.
Neutral	A young girl in a white shirt and green skirt looking at books.	She likes to wear skirts in good weather.
Invalidate	A young child plays with a slinky in the family room while an older sibling watches.	The parents have come home from work.
Support	A young child plays with a slinky in the family room while an older sibling watches.	The older sibling must watch the younger child to make sure she doesn't swallow anything.
Neutral	A young child plays with a slinky in the family room while an older sibling watches.	The slinky has always been her favorite toy.
Invalidate	A dog leaps high to catch a ball.	The dog eats food in its bowl.
Support	A dog leaps high to catch a ball.	The dog jumps as high as it can.
Neutral	A dog leaps high to catch a ball.	Most dogs like to play with balls.
Invalidate	A group of mountain climbers scales a snowy peak.	Climbers are observing the earth from the peak.
Support	A group of mountain climbers scales a snowy peak.	it is very adventurous for climbers a peak journey.
Neutral	A group of mountain climbers scales a snowy peak.	climbers risk their life to achieve high climbing feat.
Invalidate	Three workers in reflective gear are waiting against a wall.	The workers left for work.
Support	Three workers in reflective gear are waiting against a wall.	The three workers are posing for a picture near the wall.
Neutral	Three workers in reflective gear are waiting against a wall.	The workers wear reflective gear for work.
Invalidate	A man in red riding gear riding a dirt bike down a path	The man takes off his helmet
Support	A man in red riding gear riding a dirt bike down a path	He can barely hold on as the road gets rough.
Neutral	A man in red riding gear riding a dirt bike down a path	The the brand of the dirt bike is Yamaha.
Invalidate	A child plays in the snow with a green shovel.	The child gets a snack in the kitchen.
Support	A child plays in the snow with a green shovel.	The child throws the white powder in the air.
Neutral	A child plays in the snow with a green shovel.	Most children enjoy playing in the snow.
Invalidate	one woman holding flowers and two men on a bench	They are going to bed
Support	one woman holding flowers and two men on a bench	When a female carries the blossoms
Neutral	one woman holding flowers and two men on a bench	Sitting and enjoying the time in an area surrounded with plants will help to refresh the mind and lead a peaceful life.
Invalidate	A man is pushing a three wheeled cart down a sidewalk with a piece of art on top.	The man eats food at a restaruant.
Support	A man is pushing a three wheeled cart down a sidewalk with a piece of art on top.	The man tries to push as fast as he can.
Neutral	A man is pushing a three wheeled cart down a sidewalk with a piece of art on top.	Most people enjoy looking at pieces of art.
Invalidate	Workers in green shirts are waiting on several customers.	Workers are going home now.
Support	Workers in green shirts are waiting on several customers.	Workers in green shirts are loading carts and taking money.
Neutral	Workers in green shirts are waiting on several customers.	The workers are in green shirts.
Invalidate	A man with a beard and glasses sits in the grass next to a pine tree.	a heavy rain is falling and a lightning struck a tree
Support	A man with a beard and glasses sits in the grass next to a pine tree.	it is gratifying to see the model of glasses I created   being used
Neutral	A man with a beard and glasses sits in the grass next to a pine tree.	Many people like to rest sitting on the grass near trees
Invalidate	Eight kayakers on six kayaks are paddling down a river.	The people eat food at a restaurant.
Support	Eight kayakers on six kayaks are paddling down a river.	The people row as fast as they can.
Neutral	Eight kayakers on six kayaks are paddling down a river.	Most people like to kayak.
Invalidate	The black dog retreived the white toy in the water.	The dog decides to go to bed at night.
Support	The black dog retreived the white toy in the water.	The dog's owner watched him grab the toy to make sure he didn't get swept away by the tides.
Neutral	The black dog retreived the white toy in the water.	The dog continued to happily play with the toy while his owner got a suntan.
Invalidate	A kid looking over a carnival booth counter at the various toys.	Parents are in line at the checkout to pay for their child's chosen toy.
Support	A kid looking over a carnival booth counter at the various toys.	The packaging of the toys attracts the attention of children.
Neutral	A kid looking over a carnival booth counter at the various toys.	Prices for children's toys vary widely.
Invalidate	A boy in purple wearing a seat belt.	a boy is out of the car changing his shirt
Support	A boy in purple wearing a seat belt.	seat belt crumples purple clothes
Neutral	A boy in purple wearing a seat belt.	car safety is very important
Invalidate	Three men are looking in the window of an Asian restaurant.	The restaurant is closed and curtains cover the windows
Support	Three men are looking in the window of an Asian restaurant.	There are people who seems to like to look out of restaurant windows
Neutral	Three men are looking in the window of an Asian restaurant.	Many people like to watch in restaurant windows
Invalidate	An Asian family sits down for a snack	The family goes to bed at their home.
Support	An Asian family sits down for a snack	The family relaxes while eating.
Neutral	An Asian family sits down for a snack	Most people like to eat snacks.
Invalidate	a brown and black dog running through a grassy field	The dog rests in the house by my door
Support	a brown and black dog running through a grassy field	Our puppies chases squirrels up the tree
Neutral	a brown and black dog running through a grassy field	Abby's went to Arby's for some yummy food!
Invalidate	A girl in a green shirt hangs upside down from playgroud equiment.	She has very good upper body strength to use the equipment like that
Support	A girl in a green shirt hangs upside down from playgroud equiment.	He face is a little red.
Neutral	A girl in a green shirt hangs upside down from playgroud equiment.	It is the afternoon and she might go home soon
Invalidate	A man close to a red car is taking pictures.	He is trying to sell it on the internet.
Support	A man close to a red car is taking pictures.	He thinks the car looks good.
Neutral	A man close to a red car is taking pictures.	Time to scrap it
Invalidate	A couple people at a museum looking in the gift shop, potentially going to buy something.	Everything is closed for the night.
Support	A couple people at a museum looking in the gift shop, potentially going to buy something.	They are looking at a handkerchief
Neutral	A couple people at a museum looking in the gift shop, potentially going to buy something.	It is good to have a budget.
Invalidate	The man and woman ride the ski lift up the snowy mountain.	The two people drink hot chocolate at the lodge.
Support	The man and woman ride the ski lift up the snowy mountain.	The two people are scared about how high they are going.
Neutral	The man and woman ride the ski lift up the snowy mountain.	Most people enjoy skiing in the winter.
Invalidate	A woman wearing a straw hat walking and talking on the phone.	The woman charges her phone at home.
Support	A woman wearing a straw hat walking and talking on the phone.	She is having a phone conversation with her friend.
Neutral	A woman wearing a straw hat walking and talking on the phone.	Nearly every person in America now owns a cell phone.
Invalidate	A woman smiles as she skis, wearing a white winter hat, a white coat, and a blue hoodie, while snow is in the background.	Woman eats steak for dinner.
Support	A woman smiles as she skis, wearing a white winter hat, a white coat, and a blue hoodie, while snow is in the background.	The woman adjusts her hoodie while skiing.
Neutral	A woman smiles as she skis, wearing a white winter hat, a white coat, and a blue hoodie, while snow is in the background.	Most people love to ski and have a good time.
Invalidate	A large dog wards off a smaller dog.	The animal is on a leash and is kept at a distance.
Support	A large dog wards off a smaller dog.	The smaller dog want to bite the other dog's owner.
Neutral	A large dog wards off a smaller dog.	The dogs have been walked to opposite sides of the street
Invalidate	A man talks to a woman wearing a backpack.	the woman leaves for work
Support	A man talks to a woman wearing a backpack.	the two are friends form the age of 7
Neutral	A man talks to a woman wearing a backpack.	the man is a judge
Invalidate	Three men work on restoring the front of building.	strong winds and thunderstorms place the city on alert
Support	Three men work on restoring the front of building.	The men try to make the building look nice.
Neutral	Three men work on restoring the front of building.	currently the buildings are getting higher and higher
Invalidate	A woman begins to climb onto her bike.	As the sun sets
Support	A woman begins to climb onto her bike.	As the sun rises at 5am
Neutral	A woman begins to climb onto her bike.	A woman fastened her helmet.
Invalidate	A woman is showing her little boy a rooster in a cage.	The mother is cleaning her family's house so her little boy watching TV won't get allergies.
Support	A woman is showing her little boy a rooster in a cage.	The rooster
Neutral	A woman is showing her little boy a rooster in a cage.	Family bonding time is critical at the children's early age in that it will play a big part in how they grow up to be like psychologically speaking.
Invalidate	The small yellow and white dog jumps over an obstacle with a tennis ball.	The dog eats food from its bowl.
Support	The small yellow and white dog jumps over an obstacle with a tennis ball.	The dog leaps as high as he can.
Neutral	The small yellow and white dog jumps over an obstacle with a tennis ball.	Most dogs like to play with balls.
Invalidate	Man is determined to bike his way to the finish!	A man reaches the finish line of a bicycle race.
Support	Man is determined to bike his way to the finish!	The man sweats a lot as he rides.
Neutral	Man is determined to bike his way to the finish!	Cycling takes a lot of effort from the heart.
Invalidate	Two young boys enjoy playing in shallow water while looking back at the photographer.	The boys sat up on the dry beach.
Support	Two young boys enjoy playing in shallow water while looking back at the photographer.	The boys are soaked while the photographer is doing his job.
Neutral	Two young boys enjoy playing in shallow water while looking back at the photographer.	The stream that the photographer chose was crystal clear.
Invalidate	A man in a green jacket is looking after a black horse.	the horse hit the man with a strong kick
Support	A man in a green jacket is looking after a black horse.	the man has to check up every horse in the farm everyday
Neutral	A man in a green jacket is looking after a black horse.	in the farn there were many animals that had to cared of
Invalidate	The dog is sitting on the side of the hill.	An owl swoops and scares the dog away
Support	The dog is sitting on the side of the hill.	He is howling at the moon rising over the ridge above him
Neutral	The dog is sitting on the side of the hill.	The hillside faces north east and there is a sheltered spot where the dog likes to sit
Invalidate	Bmx biker Jumps off of ramp	The biker goes to get some food.
Support	Bmx biker Jumps off of ramp	The biker tries to get as much air as he can.
Neutral	Bmx biker Jumps off of ramp	Most bikers like to jump in the air.
Invalidate	A cowboy in a pink shirt is riding a bucking horse.	the man fell on the grond and hurt his leg
Support	A cowboy in a pink shirt is riding a bucking horse.	the man rides in order to get used to it
Neutral	A cowboy in a pink shirt is riding a bucking horse.	the farm had ten horses to be sold
Invalidate	Students in white clothing practice martial arts while spectators watch.	They are going to have breakfast
Support	Students in white clothing practice martial arts while spectators watch.	They are facing some discomfort when trying on some new methods to win the competition
Neutral	Students in white clothing practice martial arts while spectators watch.	Self-defense Sport will help to become strong in achieving anything
Invalidate	A car stopping in front of a restaurant.	The valet seems to have misplaced the keys so we can't get home.
Support	A car stopping in front of a restaurant.	Wait inside the car until the valet confirms if there is a table for us.
Neutral	A car stopping in front of a restaurant.	It is much more convenient to go to restaurants that offer valet parking.
Invalidate	Bishop making the cross with ashes on a man's forehead	the bishop is relaxing for the day.
Support	Bishop making the cross with ashes on a man's forehead	the man confessed his sins and now the bishop crosses his head to redeem him of his sons.
Neutral	Bishop making the cross with ashes on a man's forehead	mass was full this morning.
Invalidate	A group of people riding camels.	Camels is stopping because of the heavy load
Support	A group of people riding camels.	The expedition is to the village with the camels
Neutral	A group of people riding camels.	the sun is very hot in the desert
Invalidate	A man on a bench in front of the water and between 2 palm trees.	He is surfing in the sea
Support	A man on a bench in front of the water and between 2 palm trees.	he is setting up a hammock in the trees
Neutral	A man on a bench in front of the water and between 2 palm trees.	people love to go to the beach on afternoons
Invalidate	This is two men building a playground.	They are now watching TV
Support	This is two men building a playground.	Building an outdoor structure requires tolls and time
Neutral	This is two men building a playground.	Infrastructure work benefit the community.
Invalidate	A man is firing a handgun.	A man is leaving the shooting range.
Support	A man is firing a handgun.	A man shot the target right in the center.
Neutral	A man is firing a handgun.	Some people enjoy going to the shooting range.
Invalidate	A black dog looks up with his head on a blue carpeted step.	The dog is getting ready fro bed.
Support	A black dog looks up with his head on a blue carpeted step.	Someone is at the door
Neutral	A black dog looks up with his head on a blue carpeted step.	Dogs are the best security for ones home.
Invalidate	The young girl is standing in a tree.	The young girl is having lunch
Support	The young girl is standing in a tree.	she is about to start her jogging session
Neutral	The young girl is standing in a tree.	The girl loves to stay fit
Invalidate	I man with a covered face burning an israei flag in front of a crowd.	A peaceful protest outside the US capital
Support	I man with a covered face burning an israei flag in front of a crowd.	People are  demonstrating and raging tires all over
Neutral	I man with a covered face burning an israei flag in front of a crowd.	he is smoking cigarette near spill of petrol
Invalidate	A group of football players are playing football.	Players having lunch after playing football
Support	A group of football players are playing football.	one of football player made a goal
Neutral	A group of football players are playing football.	football players uniform is whitish in color
Invalidate	An employee at a cheese factory is performing her job, by getting the cheese ready for slicing.	there is a sudden shut down and everyone stopped their work
Support	An employee at a cheese factory is performing her job, by getting the cheese ready for slicing.	the sliced cheese is neatly packed
Neutral	An employee at a cheese factory is performing her job, by getting the cheese ready for slicing.	cheese production needs many machines to process the milk
Invalidate	Many women sitting with their goods for sale in a large produce marketplace.	Many women leave the market place
Support	Many women sitting with their goods for sale in a large produce marketplace.	a family is buying one of the products
Neutral	Many women sitting with their goods for sale in a large produce marketplace.	Some people saw the womans
Invalidate	A man is at an event catching a young calf.	The man cleans himself up in the locker room.
Support	A man is at an event catching a young calf.	The man holds the calf as tightly as possible.
Neutral	A man is at an event catching a young calf.	Most people enjoy going to a rodeo.
Invalidate	Children sit and watch the fish moving in the pond	They are going to bed
Support	Children sit and watch the fish moving in the pond	Kids watching the fish move
Neutral	Children sit and watch the fish moving in the pond	Some people do not enjoy eating fish.
Invalidate	Two adults dancing with a little boy while another person standing in the background.	they stopped because the boy felt sick
Support	Two adults dancing with a little boy while another person standing in the background.	The music is amazing to dance to.
Neutral	Two adults dancing with a little boy while another person standing in the background.	many people are there for the boy's bithday
Invalidate	A guy with a red shirt walking.	The guy takes a nap at his house.
Support	A guy with a red shirt walking.	The guy strides as quickly as he can.
Neutral	A guy with a red shirt walking.	Most people believe walking is a good form of exercise.
Invalidate	A man in dark clothing on a bicycle in midair near a stunt ramp with graffiti behind him.	The bicyclist crashed while attempting a flip.
Support	A man in dark clothing on a bicycle in midair near a stunt ramp with graffiti behind him.	The crowd gasp as the bicyclist soars into the air.
Neutral	A man in dark clothing on a bicycle in midair near a stunt ramp with graffiti behind him.	Ramps make bicycle stunts easier to perform.
Invalidate	A group of people are waiting at a subway station.	The people all arrive at work.
Support	A group of people are waiting at a subway station.	The people all converse while waiting for their ride.
Neutral	A group of people are waiting at a subway station.	A lot of people in cities take the subway.
Invalidate	A woman wearing boots is praying on the ground	She is on her feet
Support	A woman wearing boots is praying on the ground	She murmurs indiscernible words as she keeps her forehead pressed to the ground.
Neutral	A woman wearing boots is praying on the ground	Some say that praying is a cathartic experience.
Invalidate	A woman and her daughter are walking through the subway station wearing shorts.	the two jumped on a train and went home
Support	A woman and her daughter are walking through the subway station wearing shorts.	the trains are late because of a broken railway
Neutral	A woman and her daughter are walking through the subway station wearing shorts.	the two go shopping to the city centre
Invalidate	A messy blond-haired baby feeds an individual wearing a red shirt on grass.	The two leave before afternoon.
Support	A messy blond-haired baby feeds an individual wearing a red shirt on grass.	The tree provides shade that invites people to rest under it.
Neutral	A messy blond-haired baby feeds an individual wearing a red shirt on grass.	There was a baby and a man there.
Invalidate	People lounge on the beach in beach chairs, on the sand, or near their four-wheelers.	All left to there hotels back as it is too dark now.
Support	People lounge on the beach in beach chairs, on the sand, or near their four-wheelers.	Sunset at beach is beautiful and people admiring it.
Neutral	People lounge on the beach in beach chairs, on the sand, or near their four-wheelers.	Most of the corporate offices are close as it is a national Holiday.
Invalidate	A hiker has sat down to remove one of his shoes.	the hiker goes on because he couldn't sto in the rain
Support	A hiker has sat down to remove one of his shoes.	he has to stop because his shoes get wet
Neutral	A hiker has sat down to remove one of his shoes.	that particular hiking path was the man's favourite
Invalidate	A guy with a red shirt walking.	He is reading newspaper at the restaurant.
Support	A guy with a red shirt walking.	He is going to have breakfast
Neutral	A guy with a red shirt walking.	Going on foot for pleasure or exercise will help to refresh the mind and stay strong in achieving anything.
Invalidate	Elderly woman adorn with red flower patterned white scarf smiles at night scene.	Elderly woman takes off scarf to get ready for bed.
Support	Elderly woman adorn with red flower patterned white scarf smiles at night scene.	Elderly woman adjusts her scarf to be more comfortable
Neutral	Elderly woman adorn with red flower patterned white scarf smiles at night scene.	Elderly woman wearing a scarf smiles at night.
Invalidate	The rock climber appears to be stuck between a rock and a hard place.	The athlete is in an easy position now.
Support	The rock climber appears to be stuck between a rock and a hard place.	The athlete is in a difficult position.
Neutral	The rock climber appears to be stuck between a rock and a hard place.	The athlete loves what he does.
Invalidate	Two sumo wrestlers competing in a match.	The wrestlers get some food at the snack bar.
Support	Two sumo wrestlers competing in a match.	Both wrestlers try to win.
